window,signal,case,exposure_tyr,kappa_DL,sigma_n_DL_cm2,n_crit
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1.0,0.0025759189700316986,7.635649637498735e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1.1547819846894583,0.0022306539279138564,6.61220017175112e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1.333521432163324,0.001931666719336395,5.725929447651767e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1.539926526059492,0.001672754463567298,4.958450619743234e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1.7782794100389228,0.0014485456871905845,4.293841335840247e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,2.053525026457146,0.0012543888858641357,3.7183134070063794e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,2.371373705661655,0.0010862560227777223,3.2199267535389377e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,2.7384196342643614,0.0009406589617605059,2.788341692397318e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,3.1622776601683795,0.0008145771013335181,2.414604426953503e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,3.651741272548377,0.0007053947083808835,2.090961288769009e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,4.216965034285822,0.0006108466513448224,1.810697877600945e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,4.869675251658631,0.0005289714071085809,1.567999762386209e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,5.623413251903491,0.0004580703666336039,1.3578318532635166e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,6.493816315762113,0.00039667259509316587,1.1758339420480846e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,7.498942093324558,0.00034350431540533456,1.0182302440094679e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,8.659643233600654,0.000297462482061243,8.81751064278413e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,10.0,0.00025759189700316987,7.635649637498735e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,11.547819846894582,0.00022306539279138565,6.61220017175112e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,13.33521432163324,0.00019316667193363947,5.725929447651767e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,15.39926526059492,0.00016727544635672983,4.958450619743235e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,17.78279410038923,0.00014485456871905845,4.2938413358402473e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,20.53525026457146,0.00012543888858641356,3.718313407006379e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,23.71373705661655,0.00010862560227777224,3.2199267535389385e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,27.384196342643612,9.40658961760506e-05,2.7883416923973184e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,31.622776601683793,8.145771013335182e-05,2.4146044269535034e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,36.51741272548377,7.053947083808834e-05,2.0909612887690085e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,42.169650342858226,6.108466513448224e-05,1.810697877600945e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,48.69675251658631,5.289714071085809e-05,1.5679997623862087e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,56.23413251903491,4.580703666336039e-05,1.3578318532635165e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,64.93816315762113,3.966725950931659e-05,1.1758339420480847e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,74.98942093324558,3.435043154053346e-05,1.018230244009468e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,86.59643233600653,2.9746248206124303e-05,8.817510642784132e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,100.0,2.575918970031699e-05,7.635649637498735e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,115.47819846894582,2.2306539279138563e-05,6.61220017175112e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,133.3521432163324,1.9316667193363948e-05,5.725929447651767e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,153.9926526059492,1.6727544635672984e-05,4.958450619743235e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,177.82794100389228,1.4485456871905845e-05,4.2938413358402465e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,205.3525026457146,1.2543888858641355e-05,3.718313407006379e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,237.13737056616552,1.0862560227777223e-05,3.219926753538938e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,273.8419634264361,9.406589617605062e-06,2.788341692397319e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,316.22776601683796,8.14577101333518e-06,2.414604426953503e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,365.1741272548377,7.053947083808835e-06,2.090961288769009e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,421.6965034285823,6.108466513448223e-06,1.8106978776009448e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,486.9675251658631,5.289714071085809e-06,1.567999762386209e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,562.341325190349,4.5807036663360396e-06,1.3578318532635167e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,649.3816315762114,3.966725950931658e-06,1.1758339420480846e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,749.8942093324558,3.435043154053345e-06,1.0182302440094678e-43,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,865.9643233600654,2.97462482061243e-06,8.817510642784131e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1000.0,2.5759189700316987e-06,7.635649637498735e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1154.781984689458,2.2306539279138566e-06,6.612200171751121e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1333.521432163324,1.9316667193363946e-06,5.725929447651766e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1539.926526059492,1.6727544635672984e-06,4.958450619743235e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,1778.2794100389228,1.4485456871905845e-06,4.293841335840247e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,2053.525026457146,1.2543888858641356e-06,3.7183134070063795e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,2371.373705661655,1.0862560227777224e-06,3.2199267535389385e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,2738.4196342643613,9.406589617605059e-07,2.788341692397318e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,3162.2776601683795,8.145771013335181e-07,2.414604426953503e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,3651.741272548377,7.053947083808835e-07,2.090961288769009e-44,1
