variant,phi_total,phi_at_30MeV,phi_at_100MeV,phi_at_1GeV,phi_above_60MeV,phi_above_110MeV,phi_above_160MeV,phi_above_1GeV
"central (ga=1.0, E1=120, gb=2.3, E2=2000, gc=3.0)",10.5,0.12916253067545477,0.02858635734167133,0.00023463248621485906,4.614451638625294,2.714964859926422,1.8200863759856172,0.14680376990466196
soft low-E (ga=1.2),10.5,0.13924374963068525,0.02538002752780764,0.00019081092866883942,4.015368500896935,2.278120366351491,1.505666804147538,0.11929275525769069
hard low-E (ga=0.8),10.5,0.11764122608101686,0.03161460086865824,0.00028329257368134606,5.219148120252011,3.178724199577442,2.160697753281851,0.17738731985950293
low break (E1=90),10.5,0.14053071014092652,0.026749407370857604,0.00018154725864408713,4.117581779727978,2.2696754113227593,1.4729238331095529,0.11333971313188218
high break (E1=160),10.5,0.11868590844085637,0.029365852170184063,0.00030592250534649824,5.076847643923947,3.1861830069248427,2.2203069196377894,0.19215147003634023
hard mid (gb=2.0),10.5,0.11869553239029432,0.028165232569212606,0.0003911934080316541,5.0826225904667615,3.2506943821473206,2.332816063826064,0.27090340109613703
soft mid (gb=2.6),10.5,0.13800370663324799,0.028487630876919853,0.00013817733466717845,4.221318929918673,2.2869725328261064,1.4300738139471405,0.07846390027181269
hard high (gc=2.7),10.5,0.12882941912211923,0.028522351157361712,0.0002419849986212418,4.629588955070047,2.7345783024585844,1.8414446659786008,0.16380613623132756
soft high (gc=3.3),10.5,0.12945579983691488,0.028641501651041085,0.0002274318649791305,4.6011300152340295,2.697754984663292,1.8014100563051834,0.13293383068144932
"P019 central broken (g1=1, Eb=100, g2=2.5)",10.5,0.11785281637107492,0.035331466909103604,0.0001118053535419343,4.159155530458468,2.0386583373604057,1.1628986292380326,0.07433364672437208
P019 hard broken (g2=2.0),10.5,0.10599121566275804,0.03178274766947638,0.0003179742704024124,4.797346178481885,2.8834070963168057,1.982263787965404,0.3144283414811925
P019 soft broken (g2=3.0),10.5,0.12485909426313524,0.0374232961227462,3.745790099249982e-05,3.7821962027826515,1.5434700604627267,0.73020272111353,0.01868396480406514
