experiment,window,truth,roi_rate_per_tyr,N_shape_P057,N_shape_P050,shape_q16,shape_med,shape_q84,shape_P050_med,mod3_q16,mod3_med,mod3_q84,mod5_med,N_mod3,N_mod5
LZ,600phd,L10,0.352113,2,4,2023.46,2024.67,2026.31,2026.7,,,,,,
LZ,600phd,d300,0.352113,7,6,2027.47,2029.74,inf,2028.73,inf,inf,inf,inf,96.5,268.0
LZ,600phd,d350,0.352113,7,6,2027.47,2029.74,inf,2028.73,2031.27,inf,inf,inf,11.5,32.0
LZ,600phd,d366,0.352113,7,6,2027.47,2029.74,inf,2028.73,2027.06,2029.24,inf,inf,6.5,17.6
LZ,600phd,d380,0.352113,7,6,2027.47,2029.74,inf,2028.73,2026.09,2028.02,2030.6,inf,5.3,14.1
LZ,1000phd,L10,0.446845,2,4,2023.46,2023.5,2024.8,2025.1,,,,,,
LZ,1000phd,d300,0.401243,5,6,2024.61,2026.24,2028.45,2027.13,inf,inf,inf,inf,96.5,268.0
LZ,1000phd,d350,0.687498,5,6,2023.92,2024.87,2026.16,2025.39,2030.26,inf,inf,inf,11.5,32.0
LZ,1000phd,d366,1.702909,5,6,2023.46,2023.73,2024.25,2023.94,2024.06,2024.84,2025.86,2028.87,6.5,17.6
LZ,1000phd,d380,10.496775,5,6,2022.12,2022.2,2022.31,2022.24,2022.19,2022.31,2023.32,2023.58,5.3,14.1
present,600phd,L10,0.352113,2,4,2022.03,2023.17,2024.28,2024.52,,,,,,
present,600phd,d300,0.352113,7,6,2024.98,2026.34,2027.65,2025.73,inf,inf,inf,inf,96.5,268.0
present,600phd,d350,0.352113,7,6,2024.98,2026.34,2027.65,2025.73,2027.07,2028.32,2029.84,inf,11.5,32.0
present,600phd,d366,0.352113,7,6,2024.98,2026.34,2027.65,2025.73,2024.73,2026.04,2027.4,2030.86,6.5,17.6
present,600phd,d380,0.352113,7,6,2024.98,2026.34,2027.65,2025.73,2024.01,2025.31,2026.8,2029.4,5.3,14.1
present,1000phd,L10,0.446845,2,4,2021.9,2022.48,2023.46,2023.5,,,,,,
present,1000phd,d300,0.401243,5,6,2023.46,2024.24,2025.56,2024.78,inf,inf,inf,inf,96.5,268.0
present,1000phd,d350,0.687498,5,6,2022.75,2023.46,2024.2,2023.7,2026.65,2027.9,2029.43,inf,11.5,32.0
present,1000phd,d366,1.702909,5,6,2021.93,2022.19,2022.78,2022.31,2022.71,2023.46,2024.01,2025.82,6.5,17.6
present,1000phd,d380,10.496775,5,6,2021.17,2021.34,2021.53,2021.43,2021.31,2021.53,2021.66,2021.99,5.3,14.1
world,600phd,L10,0.352113,2,4,2022.03,2023.17,2024.28,2024.52,,,,,,
world,600phd,d300,0.352113,7,6,2024.98,2026.34,2027.65,2025.73,2035.95,inf,inf,inf,96.5,268.0
world,600phd,d350,0.352113,7,6,2024.98,2026.34,2027.65,2025.73,2027.07,2028.32,2029.84,2032.69,11.5,32.0
world,600phd,d366,0.352113,7,6,2024.98,2026.34,2027.65,2025.73,2024.73,2026.04,2027.4,2030.86,6.5,17.6
world,600phd,d380,0.352113,7,6,2024.98,2026.34,2027.65,2025.73,2024.01,2025.31,2026.8,2029.4,5.3,14.1
world,1000phd,L10,0.446845,2,4,2021.9,2022.48,2023.46,2023.5,,,,,,
world,1000phd,d300,0.401243,5,6,2023.46,2024.24,2025.56,2024.78,2035.89,inf,inf,inf,96.5,268.0
world,1000phd,d350,0.687498,5,6,2022.75,2023.46,2024.2,2023.7,2026.65,2027.9,2029.43,2032.64,11.5,32.0
world,1000phd,d366,1.702909,5,6,2021.93,2022.19,2022.78,2022.31,2022.71,2023.46,2024.01,2025.82,6.5,17.6
world,1000phd,d380,10.496775,5,6,2021.17,2021.34,2021.53,2021.43,2021.31,2021.53,2021.66,2021.99,5.3,14.1
