model,dataset,exposure_tyr,mu_sideband,b_sideband,P0_if_true,Z_if_zero_excl,Z_asimov_disc
L10,"SR3 (analysed, sideband empty)",2.84,0.2815232609985999,0.0027,0.7546333619455485,0.7503642595414576,1.4435821480489182
L10,untouched Apr 2024-Sep 2026,6.76,0.6701046635037097,0.006426760563380283,0.511655023376558,1.1576741022444181,2.2271818600207016
L10,SR3+untouched,9.6,0.9516279245023096,0.009126760563380283,0.3861119504469802,1.3795853902548472,2.6541040777955183
d300,"SR3 (analysed, sideband empty)",2.84,0.155,0.0027,0.8564151774836135,0.5567764362830022,0.9863424527973927
d300,untouched Apr 2024-Sep 2026,6.76,0.36894366197183104,0.006426760563380283,0.6914643650918627,0.8590036809837674,1.521745071181247
d300,SR3+untouched,9.6,0.523943661971831,0.009126760563380283,0.5921805769537418,1.0236636771633845,1.8134440978025197
d350,"SR3 (analysed, sideband empty)",2.84,1.062,0.0027,0.34576359115930777,1.4573949361789345,3.2563541557185856
d350,untouched Apr 2024-Sep 2026,6.76,2.5278591549295775,0.006426760563380283,0.07982974058444255,2.2484924527022887,5.023955799967193
d350,SR3+untouched,9.6,3.5898591549295777,0.009126760563380283,0.027602217785792783,2.6794996379658564,5.986983737032339
d366,"SR3 (analysed, sideband empty)",2.84,3.81,0.0027,0.022148178957037315,2.760434748368452,6.905491623789674
d366,untouched Apr 2024-Sep 2026,6.76,9.06887323943662,0.006426760563380283,0.00011519626415520402,4.258843326406037,10.653904039902335
d366,SR3+untouched,9.6,12.87887323943662,0.009126760563380283,2.5513874736916003e-06,5.075209008392979,12.696120898041126
d380,"SR3 (analysed, sideband empty)",2.84,30.6,0.0027,5.1355723714802096e-14,7.8230428862431785,22.58735546873375
d380,untouched Apr 2024-Sep 2026,6.76,72.83661971830986,0.006426760563380283,2.3305475908548844e-32,12.0695169512545,34.8481369306172
d380,SR3+untouched,9.6,103.43661971830986,0.009126760563380283,1.1968695818014194e-45,14.383088661223628,41.52807814727263
