pair,operator,coupling_map,ratio_d_a_over_d_b_1TeV,H_numerical,dZ_100_200_400_1000_4000,max_abs_dZ,rms_dZ_ge100
L1s/L5s,O1s,d1 = d5,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
L1v/L5v,O1v,d1 = d5,1.0,0.0,"[0.0, 0.0, -0.39999999999999997, 0.0, -0.10000000000000009]",0.39999999999999997,0.18439088914585774
L2s/L8s,O10s,d2 = 2 d8,2.0,1.0536712127723509e-08,"[0.10000000000000009, 0.0, 0.0, 0.0, 0.10000000000000009]",0.10000000000000009,0.06324555320336764
L2v/L8v,O10v,d2 = 2 d8,2.0,0.0,"[0.0, -0.3999999999999999, 0.10000000000000009, 0.10000000000000009, 0.10000000000000009]",0.3999999999999999,0.19493588689617924
L3s/L17s,O11s,d3 = 2 (mchi/mN) d17,2131.5780498618738,1.0536712127723509e-08,"[0.0, 0.0, -0.10000000000000009, -0.10000000000000009, 0.0]",0.10000000000000009,0.06324555320336764
L3v/L17v,O11v,d3 = 2 (mchi/mN) d17,2131.5780498618738,1.4901161193847656e-08,"[0.2, 0.10000000000000009, 0.0, 0.0, 0.0]",0.2,0.10000000000000003
L4s/L20s,O6s,d4 = 4 (mchi/mN) d20,4263.1560997237475,0.0,"[-0.10000000000000009, 0.0, -0.10000000000000009, -0.10000000000000009, -0.2999999999999998]",0.2999999999999998,0.15491933384829665
L4v/L20v,O6v,d4 = 4 (mchi/mN) d20,4263.1560997237475,0.0,"[0.0, 0.10000000000000009, -0.09999999999999964, -0.10000000000000009, -0.19999999999999973]",0.19999999999999973,0.11832159566199221
L11s/L14s,O9s,d11 = d14 (opposite sign),1.0,0.0,"[0.0, 0.10000000000000009, 0.10000000000000009, 0.10000000000000009, 0.10000000000000009]",0.10000000000000009,0.08944271909999167
L11v/L14v,O9v,d11 = d14 (opposite sign),1.0,1.4901161193847656e-08,"[0.0, 0.0, 0.10000000000000009, 0.10000000000000009, 0.10000000000000009]",0.10000000000000009,0.07745966692414841
