L,LZ_declares_sv_indistinguishable,H_sv,N3sigma_gauss,same_class_H0p02,same_class_H0p05,Z_LZ_1000_s,Z_LZ_1000_v,N_lo_s,N_lo_v,rate_ratio_v_over_s_200_270
1,False,0.1352,94.04,False,False,0,1.3,2774,472.6,0.1283
2,True,0.007854,1.864e+04,True,True,3,3.1,2.953,3.019,0.9167
3,False,0.2297,27.18,False,False,1.7,2.6,261.4,34.71,0.1427
4,True,0.008178,1.713e+04,True,True,3.1,3.1,0.397,0.4082,0.9173
5,False,0.1352,94.04,False,False,0,1.3,2774,472.6,0.1283
6,False,0.3868,10.66,False,False,2.6,3.3,31.85,1.413,1.14
7,True,0.03009,1398,False,True,2.7,2.7,30.88,34.05,0.7743
8,True,0.007854,1.864e+04,True,True,3,3,2.953,3.019,0.9167
9,False,0.3771,7.059,False,False,3,3.2,7.79,0.6905,1.053
10,True,0.01934,3241,True,True,3.4,3.4,0.1974,0.2019,0.7779
11,True,0.03174,1180,False,True,3.2,3.2,2.069,2.208,0.7761
12,False,0.2401,20.51,False,False,3.2,3.2,1.026,1.278,0.9504
13,False,0.3095,17.81,False,False,2.5,3,84.04,6.416,1.049
14,True,0.03174,1180,False,True,3.1,3.1,2.069,2.208,0.7761
15,True,0.006432,2.783e+04,True,True,2.7,2.7,27.58,28.82,0.8607
16,False,0.2494,22.43,False,False,3.4,3.2,4.703,9.01,1.352
17,False,0.2297,27.18,False,False,1.8,2.6,261.4,34.71,0.1427
18,False,0.5216,3.433,False,False,3.1,2.9,4.193,0.1803,1.196
19,True,0.03234,1137,False,True,3,3,2.348,2.508,0.776
20,True,0.008178,1.713e+04,True,True,3.2,3.2,0.397,0.4082,0.9173
