model,flipped_operator,H_base_vs_flip,N_lo_base,N_lo_flip,R_hi_flip_over_base,Z_pred_base,Z_pred_flip,Z_LZ_1000
L6s,O3,0.2724,31.85,23.71,9.847,2.657,2.759,2.6
L6v,O3,0.43,1.413,12.5,0.2472,3.432,2.961,3.3
L9s,O5,0.1103,7.79,14.54,0.5393,3.094,2.916,3
L9v,O5,0.2152,0.6905,1.114,0.4211,3.506,3.46,3.2
L12s,O15,0.1053,1.026,1.728,5581,3.469,3.403,3.2
L12v,O15,0.4183,1.278,0.7016,469.8,3.444,3.505,3.2
L13s,O9,0.05499,84.04,157.5,0.5324,2.285,2.008,2.5
L13v,O9,0.1917,6.416,9.696,0.4133,3.143,3.034,3
L18s,O15,0.3455,4.193,3.408,9.711,3.242,3.286,3.1
L18v,O15,0.5354,0.1803,1.422,0.259,3.571,3.431,2.9
