,L1s,L1v,L2s,L2v,L3s,L3v,L4s,L4v,L5s,L5v,L6s,L6v,L7s,L7v,L8s,L8v,L9s,L9v,L10s,L10v,L11s,L11v,L12s,L12v,L13s,L13v,L14s,L14v,L15s,L15v,L16s,L16v,L17s,L17v,L18s,L18v,L19s,L19v,L20s,L20v,O1s,O1v,O3s,O3v,O4s,O4v,O5s,O5v,O6s,O6v,O7s,O7v,O8s,O8v,O9s,O9v,O10s,O10v,O11s,O11v,O12s,O12v,O13s,O13v,O14s,O14v,O15s,O15v
L1s,0,0.14253,3.8807,3.9287,0.49531,0.49484,6.9564,6.9714,0,0.14253,2.365,3.5264,0.44673,0.44065,3.8807,3.9287,1.324,5.0772,7.0647,7.0018,3.2011,3.0522,5.2951,5.7746,0.057716,1.4163,3.2011,3.0522,0.71098,0.72407,2.7471,3.4165,0.49531,0.49484,5.4947,7.5724,3.0282,2.8783,6.9564,6.9714,0,0.14253,2.5967,4.2774,0.71098,0.72407,1.2123,4.9494,6.9564,6.9714,0.44065,0.4355,0.062794,1.6663,3.2011,3.0522,3.8807,3.9287,0.49531,0.49484,0.94722,1.4418,2.7471,3.4165,3.0282,2.8783,4.8811,7.2106
L1v,0.14253,0,4.3107,4.3631,1.0954,0.57502,7.2994,7.317,0.14253,0,2.8976,4.0804,0.31334,0.26093,4.3107,4.3631,1.8349,5.3826,7.1448,7.0404,3.2245,3.0261,6.2686,6.5205,0.22238,1.7132,3.2245,3.0261,0.89567,0.91532,3.7684,4.3689,1.0954,0.57502,6.0004,7.8846,3.0563,2.8564,7.2994,7.317,0.14253,0,3.6913,4.7312,0.89567,0.91532,1.7375,5.2721,7.2994,7.317,0.30703,0.25555,0.23472,2.0023,3.2245,3.0261,4.3107,4.3631,1.0954,0.57502,1.7227,1.8673,3.7684,4.3689,3.0563,2.8564,5.9504,7.6326
L2s,3.8807,4.3107,0,0.00048542,2.1739,2.1402,0.47334,0.46359,3.8807,4.3107,0.69829,0.78614,2.4726,2.7349,0,0.00048542,0.81389,0.42364,1.0906,1.1565,0.43812,0.55321,0.55608,0.5034,2.7635,0.62519,0.43812,0.55321,1.2379,1.2235,0.70517,0.74246,2.1739,2.1402,0.63372,1.7792,0.43756,0.55804,0.47334,0.46359,3.8807,4.3107,0.84111,0.10211,1.2379,1.2235,0.75181,0.13065,0.47334,0.46359,2.4877,2.7501,2.705,0.4148,0.43812,0.55321,0,0.00048542,2.1739,2.1402,1.772,0.65122,0.70517,0.74246,0.43756,0.55804,0.50132,0.60541
L2v,3.9287,4.3631,0.00048542,0,2.2032,2.1754,0.47438,0.46362,3.9287,4.3631,0.71269,0.81824,2.5176,2.7829,0.00048542,0,0.84369,0.4446,1.1127,1.1808,0.46308,0.58113,0.56634,0.49064,2.8088,0.65246,0.46308,0.58113,1.2626,1.2473,0.72251,0.73135,2.2032,2.1754,0.64037,1.8171,0.46245,0.58593,0.47438,0.46362,3.9287,4.3631,0.84467,0.10027,1.2626,1.2473,0.77328,0.13662,0.47438,0.46362,2.5328,2.7981,2.744,0.429,0.46308,0.58113,0.00048542,0,2.2032,2.1754,1.7878,0.66162,0.72251,0.73135,0.46245,0.58593,0.50236,0.60254
L3s,0.49531,1.0954,2.1739,2.2032,0,0.43075,4.5693,4.572,0.49531,1.0954,0.94451,2.0203,1.0437,1.1632,2.1739,2.2032,0.46636,3.2718,5.1009,5.114,2.158,2.1277,3.0163,3.469,0.36872,0.74053,2.158,2.1277,0.55217,0.5517,1.1199,1.6579,4.3847e-17,0.43075,3.1599,5.453,2.0275,1.9982,4.5693,4.572,0.49531,1.0954,0.99921,2.3162,0.55217,0.5517,0.35868,3.0843,4.5693,4.572,1.0433,1.1635,0.35484,0.86318,2.158,2.1277,2.1739,2.2032,4.3847e-17,0.43075,0.17592,0.52447,1.1199,1.6579,2.0275,1.9982,2.6379,4.5962
L3v,0.49484,0.57502,2.1402,2.1754,0.43075,0,4.2942,4.3049,0.49484,0.57502,1.1064,1.9685,0.52848,0.5817,2.1402,2.1754,0.60319,2.9461,4.4406,4.3781,1.63,1.5258,3.4743,3.5603,0.29063,0.64607,1.63,1.5258,0.41662,0.42383,1.8119,2.168,0.43075,3.9598e-17,3.2473,4.8025,1.5146,1.4115,4.2942,4.3049,0.49484,0.57502,1.7829,2.3529,0.41662,0.42383,0.52398,2.8308,4.2942,4.3049,0.52881,0.58265,0.28059,0.82703,1.63,1.5258,2.1402,2.1754,0.43075,3.9598e-17,0.74178,0.61153,1.8119,2.168,1.5146,1.4115,3.2427,4.5661
L4s,6.9564,7.2994,0.47334,0.47438,4.5693,4.2942,0,0.00052699,6.9564,7.2994,1.8453,1.2832,4.6355,4.944,0.47334,0.47438,2.1676,0.23721,0.27083,0.32042,0.82449,0.97898,0.74503,0.879,5.3,1.8663,0.82449,0.97898,3.1351,3.1248,1.7458,2.0526,4.5693,4.2942,0.66062,1.0736,0.90112,1.0637,2.3164e-17,0.00052699,6.9564,7.2994,2.2579,0.5544,3.1351,3.1248,2.2795,0.13722,2.3164e-17,0.00052699,4.6605,4.9687,5.3402,1.6906,0.82449,0.97898,0.47334,0.47438,4.5693,4.2942,4.056,2.2525,1.7458,2.0526,0.90112,1.0637,0.98986,0.17333
L4v,6.9714,7.317,0.46359,0.46362,4.572,4.3049,0.00052699,0,6.9714,7.317,1.8395,1.311,4.6555,4.9664,0.46359,0.46362,2.1833,0.25386,0.29167,0.34299,0.83792,0.99485,0.75553,0.8637,5.3197,1.8786,0.83792,0.99485,3.1374,3.1261,1.7557,2.0293,4.572,4.3049,0.65675,1.117,0.91395,1.079,0.00052699,2.0065e-17,6.9714,7.317,2.25,0.5397,3.1374,3.1261,2.2841,0.13751,0.00052699,2.0065e-17,4.6805,4.991,5.3512,1.6885,0.83792,0.99485,0.46359,0.46362,4.572,4.3049,4.0506,2.2403,1.7557,2.0293,0.91395,1.079,0.98912,0.16702
L5s,0,0.14253,3.8807,3.9287,0.49531,0.49484,6.9564,6.9714,0,0.14253,2.365,3.5264,0.44673,0.44065,3.8807,3.9287,1.324,5.0772,7.0647,7.0018,3.2011,3.0522,5.2951,5.7746,0.057716,1.4163,3.2011,3.0522,0.71098,0.72407,2.7471,3.4165,0.49531,0.49484,5.4947,7.5724,3.0282,2.8783,6.9564,6.9714,0,0.14253,2.5967,4.2774,0.71098,0.72407,1.2123,4.9494,6.9564,6.9714,0.44065,0.4355,0.062794,1.6663,3.2011,3.0522,3.8807,3.9287,0.49531,0.49484,0.94722,1.4418,2.7471,3.4165,3.0282,2.8783,4.8811,7.2106
L5v,0.14253,0,4.3107,4.3631,1.0954,0.57502,7.2994,7.317,0.14253,0,2.8976,4.0804,0.31334,0.26093,4.3107,4.3631,1.8349,5.3826,7.1448,7.0404,3.2245,3.0261,6.2686,6.5205,0.22238,1.7132,3.2245,3.0261,0.89567,0.91532,3.7684,4.3689,1.0954,0.57502,6.0004,7.8846,3.0563,2.8564,7.2994,7.317,0.14253,0,3.6913,4.7312,0.89567,0.91532,1.7375,5.2721,7.2994,7.317,0.30703,0.25555,0.23472,2.0023,3.2245,3.0261,4.3107,4.3631,1.0954,0.57502,1.7227,1.8673,3.7684,4.3689,3.0563,2.8564,5.9504,7.6326
L6s,2.365,2.8976,0.69829,0.71269,0.94451,1.1064,1.8453,1.8395,2.365,2.8976,0,1.3183,1.8847,2.0943,0.69829,0.71269,0.43383,1.3281,2.3627,2.4013,0.84301,0.89232,1.7197,1.9752,1.6907,0.4993,0.84301,0.89232,0.92263,0.91798,0.91617,1.3979,0.94451,1.1064,0.64864,3.3676,0.7934,0.84623,1.8453,1.8395,2.365,2.8976,1.0942,0.51416,0.92263,0.91798,0.3782,1.1478,1.8453,1.8395,1.8945,2.1044,1.6721,0.52195,0.84301,0.89232,0.69829,0.71269,0.94451,1.1064,1.1979,0.27411,0.91617,1.3979,0.7934,0.84623,1.6382,1.5956
