hypothesis,Z_local,dZ_local,Z_local_toy_est,Neff,Z_global,Z_global_P008,Z_local_LZanch,Z_global_LZanch,mssi_FV_H0,b_event_cell_H0,sideband_p,comment
LZ model: 0.0049 +- 100 % Gaussian (P052 baseline),3.108755601368658,-8.117615283076418e-06,3.028755601368658,10.25495355425325,2.3419522470539262,2.3795779373067365,3.399991882384717,2.591792209210124,0.006652516118843758,1.1585814394094107e-05,0.3736779344296693,P052 3.11 asym / 3.03 toy; LZ 3.4
MSSI removed (f -> 0),3.294458722762751,0.1856950037788101,3.214458722762751,12.662348610731756,2.499106594801838,2.546179769605526,3.58569500377881,2.759797583062867,4.892228093573251e-09,5.9903402233843784e-06,,upper bound from the MSSI channel
"prior LN0.7, LZ-style (no sideband terms)",3.117149083950009,0.00838536496606812,3.037149083950009,10.35594380986566,2.3488727873537227,2.386964915854487,3.408385364966068,2.599256905178757,0.006148527390865096,1.114838859491554e-05,,profiled t_MSSI
prior LN0.7 + six wall sideband bins,3.1582054836838354,0.049441764699894364,3.0782054836838353,10.860352517120893,2.3829867764020447,2.423304601599352,3.4494417646998943,2.6359557012438213,0.0041286525663360085,9.408433412467098e-06,,sideband-anchored
"prior LN1.5, LZ-style (no sideband terms)",3.0033541870287053,-0.10540953195523572,2.923354187028705,9.046667086664486,2.2566941808326906,2.288118273742429,3.294590468044764,2.499220887614519,0.02865226529004935,3.1067997245195946e-05,,profiled t_MSSI
prior LN1.5 + six wall sideband bins,3.1714895008865414,0.06272578190260036,3.0914895008865413,11.02730163816893,2.3941155929124487,2.4351340340222127,3.4627257819026003,2.647894109445928,0.00373843103085959,9.075813092324476e-06,,sideband-anchored
"prior LN2.3, LZ-style (no sideband terms)",2.65217248610471,-0.456591232879231,2.57217248610471,6.937287818831632,1.9202436799614864,1.9373166967923825,2.943408767120769,2.1984603855663822,0.2312062841163794,0.00020945067360818347,,profiled t_MSSI
prior LN2.3 + six wall sideband bins,3.1752373090535606,0.06647359006961961,3.0952373090535605,11.074737339938679,2.3972632262420035,2.4384776334452156,3.4664735900696195,2.6512678372791982,0.003631452655655429,8.985524781997198e-06,,sideband-anchored
"prior flat, LZ-style (no sideband terms)",1.7557277275442842,-1.3530359914396568,1.6757277275442841,4.261928932063895,1.0024140229347889,1.0092285176934515,2.046964008560343,1.296712752585564,0.8107678964128238,0.0006954787262581836,,profiled t_MSSI
prior flat + six wall sideband bins,3.1786173723000557,0.0698536533161147,3.0986173723000556,11.117645217859533,2.4001049521624056,2.4414954595341394,3.4698536533161146,2.6543126054540864,0.003534443346195292,8.903164811439269e-06,,sideband-anchored
"rate x2, common (sidebands scale too)",3.167439620071763,0.05867590108782217,3.087439620071763,10.976208374143672,2.3907181403837408,2.431523982682507,3.458675901087822,2.644251197834805,0.003938385675885763,9.245383622526932e-06,0.04432409033348308,P004 geometry error
"rate x2, FV-only (sidebands unchanged)",3.070311187215535,-0.03845253176840613,2.990311187215535,9.80149047041924,2.3104951439009414,2.345933661286674,3.361547468231594,2.557772350244222,0.008120296737193833,1.2864725208778316e-05,0.3736779344296693,shape/extrapolation error
