label,q0,Z,s_hat,t_H0,t_H1,b_event_cell_H0,mssi_FV_H0,Z_toy_est,Neff,Z_global,Z_global_P008,Z_global_toy_est,dZ_local,Z_local_LZanch,Z_global_LZanch,lam,f_lambda,annulus_ratio,LR_pos,frac_beyond_25cm,position
lambda=1.23 cm position-blind,10.044123184516138,3.1692464695122937,1.1800069018986792,0.7797874187533642,0.6873814786104995,9.14684178559833e-06,0.003820958351891484,3.0892464695122936,10.998982322865977,2.392233410685105,2.4331342114009997,2.325938975275957,0.060482750528352724,3.4604827505283526,2.6458761262127672,1.23,0.9999999999999999,6.250000000000001,27350.455543308402,4.495263645142113e-06,blind
lambda=1.23 cm position-aware,10.853439793669168,3.294455917700094,1.1803443176385542,0.6837024828755085,0.6856111696547429,5.989976722803901e-06,0.003350142166089991,3.2144559177000938,12.662309425868782,2.499104161369524,2.546177206580679,2.4304045907913086,0.18569219871615283,3.5856921987161527,2.759795003335147,1.23,0.9999999999999999,6.250000000000001,27350.455543308402,4.495263645142113e-06,aware
lambda=2.0 cm position-blind,9.262622453446966,3.0434556762744163,1.178191340520638,0.8386918419089012,0.6849555938501507,1.4087185366931439e-05,0.009515684589325443,2.963455676274416,9.493469432146933,2.288761991905443,2.3226222227273308,2.2180994397359526,-0.06530804270952473,3.334691957290475,2.534178637697903,2.0,2.3154826955048033,2.6992212086635456,247.04334182900206,0.0005064376692257511,blind
lambda=2.0 cm position-aware,10.84494452742183,3.2931663376485907,1.1803259008125766,0.6837680501658862,0.6845212342558543,6.014602983088533e-06,0.007757940130701031,3.2131663376485906,12.644304155725937,2.4979856091111197,2.5449990366428774,2.4293090385003597,0.1844026186646497,3.5844026186646496,2.7586091417870198,2.0,2.3154826955048033,2.6992212086635456,247.04334182900206,0.0005064376692257511,aware
lambda=3.0 cm position-blind,8.329967507041147,2.886168308855384,1.1760135868382116,0.8789251563207707,0.6835611613032699,2.34381705246289e-05,0.020087375307704176,2.806168308855384,8.300160370612524,2.142687731167019,2.1698849880929076,2.0655595134241933,-0.222595410128557,3.177404589871443,2.3990850069353975,3.0,4.664179104477611,1.34,23.895943548770642,0.006015072388280786,blind
lambda=3.0 cm position-aware,10.680018113602273,3.268029699008605,1.180306478783768,0.7039152237818112,0.682728512749057,6.525834098015399e-06,0.016087614722625345,3.188029699008605,12.297036687313131,2.476253966823143,2.5220893684729746,2.4080328240346724,0.15926598002466408,3.559265980024664,2.7355443539937925,3.0,4.664179104477611,1.34,23.895943548770642,0.006015072388280786,aware
lambda=4.3 cm position-blind,7.637509870493886,2.763604506888402,1.1737319725388617,0.8954477632800073,0.6818814023708133,3.3934549848908684e-05,0.031887311337732815,2.683604506888402,7.570202490106131,2.0249529185531276,2.047186422432172,1.9495297769783853,-0.3451592120955391,3.054840787904461,2.2979507870522373,4.3,7.267441860465117,0.86,6.550998447103005,0.026201919731624515,blind
lambda=4.3 cm position-aware,9.975284610311064,3.1583673963475283,1.1794162845279055,0.7802303043454274,0.6805626564037451,9.498762922848956e-06,0.027784364035556643,3.078367396347528,10.862376280545659,2.3831221566444913,2.423448578110986,2.317053890444469,0.049603677363587284,3.449603677363587,2.6361010267445693,4.3,7.267441860465117,0.86,6.550998447103005,0.026201919731624515,aware
lambda=6.0 cm position-blind,7.035875572828445,2.6525224924264914,1.1710478556739046,0.903816774066425,0.6798299078491192,4.662087203213237e-05,0.04613231450964045,2.5725224924264913,6.939230108818281,1.9205686476692558,1.937658917988346,1.8470004359969876,-0.4562412265574496,2.9437587734425503,2.1988028132716795,6.0,10.416666666666668,0.6,3.07358529877331,0.06699732531125596,blind
lambda=6.0 cm position-aware,8.7978135954545,2.9661108535343885,1.1773868041107582,0.8547410139476914,0.6785239135787734,1.818743065285197e-05,0.04362740592024675,2.8861108535343885,8.795452197029498,2.2207045505715755,2.250779365808843,2.142631984528168,-0.14265286544955247,3.2573471345504474,2.467060141563831,6.0,10.416666666666668,0.6,3.07358529877331,0.06699732531125596,aware
lambda=8.0 cm position-blind,6.576392998118536,2.5644478934301893,1.1681709101702176,0.9069367574120719,0.6775353364688235,5.929728754276781e-05,0.060380300425531955,2.4844478934301892,6.459529142602743,1.8396577128307683,1.8521848467745459,1.7647027108015534,-0.5443158255537517,2.8556841744462482,2.1131797123914327,8.0,13.586956521739129,0.46,2.023001104235152,0.11871634405002127,blind
lambda=8.0 cm position-aware,7.781910633513689,2.7896076128218623,1.1741196994199465,0.8857034027634888,0.6762019557465676,3.1449626634399924e-05,0.05896666676006922,2.7096076128218622,7.722103595780495,2.049723045416804,2.0730690793079103,1.973909987445349,-0.3191561061620787,3.0808438938379212,2.319073644170276,8.0,13.586956521739129,0.46,2.023001104235152,0.11871634405002127,aware
