fg,Z_rate_only_noSB,Z_shape_only,b_event_cell_H0,mssi_event_cell,Z_global_rate,Z_global_shape
1.0,3.108755601368658,3.1692464695122937,1.1585814394094107e-05,3.995e-06,2.3419522470539262,2.392233410685105
1.5,3.036664625980562,3.116769015524887,1.4899834538560411e-05,5.9925e-06,2.283298579666325,2.348559015724538
2.0,2.9755599048359196,3.07003719662018,1.8293068512722174e-05,7.99e-06,2.2299827981964113,2.310272396346707
3.0,2.876157198898753,2.9901101914815746,2.5166194389870922e-05,1.1985e-05,2.132981732729325,2.244292240210545
5.0,2.7309356676060226,2.8664623174321044,3.8956891798309676e-05,1.9974999999999998e-05,1.9940058039583168,2.1235966410947715
7.0,2.6245287592765765,2.7719346742984206,5.266365679767086e-05,2.7965e-05,1.894661321868158,2.032875120190039
10.0,2.503412470279422,2.6612205472005215,7.29829539600097e-05,3.9949999999999995e-05,1.7846829316627915,1.9286528283712034
15.0,2.356459742314142,2.522898808416907,0.00010611369629550036,5.9925e-05,1.6258839002767957,1.8021303862528897
20.0,2.2469767687260207,2.416887287654622,0.00013821009199114045,7.989999999999999e-05,1.5081555453917317,1.6912910667841157
30.0,2.086923722101348,2.2561918414953026,0.00019968391108303592,0.00011985,1.3384901588750888,1.5180198501799977
50.0,1.881144050635752,2.0336413487655385,0.0003112243275022026,0.00019975,1.1266267204349019,1.2828448076340846
70.0,1.7494550482711428,1.873324207556808,0.00040861375278810523,0.00027965,0.9963229083146963,1.1187572379920918
100.0,1.6231863644444957,1.6895678722845502,0.0005248536085718992,0.0003995,0.8765997609934365,0.9388254342059378
150.0,1.5154835263256041,1.460264622681678,0.0006639581598745195,0.00059925,0.7795207172658811,0.7318762034074661
200.0,1.4776689283094881,1.2816579645003918,0.0007446112130638238,0.000799,0.7467242440866371,0.5897712218230412
300.0,1.496775662349038,1.001794133011317,0.0008180967585682054,0.0011985,0.7632055999612692,0.4165002724865291
500.0,1.5778425744641207,0.5858557204704931,0.0008179520152625149,0.0019975,0.8351044079578387,0.34678247150476427
1000.0,1.6619936206445802,0.0,0.0007755132262284972,0.003995,0.9127747573134487,0.0
