cls,explanation,prior_dossier,L_median,L_16,L_84,corpus_LR_vs_A_median,corpus_LR_vs_A_16,corpus_LR_vs_A_84,posterior_central,posterior_median,posterior_16,posterior_84,log10_post_over_prior
A,fluctuation of modelled/known background,0.1,0.00045421743408162864,0.0003346780258140255,0.000642296987589602,1.0,1.0,1.0,0.03706644301735221,0.03323715261554692,0.013211614934468789,0.07623872002286676,-0.47837618874843907
B,wall/RFR MSSI mismodelled,0.19,1.187273582394269e-06,3.003885978418353e-07,4.7196207728459945e-06,0.0025779947564752922,0.0006310724933828268,0.01056612120402274,0.0002140635737416535,0.00015825262875445226,3.305949055278036e-05,0.0007543596910870196,-3.0794026680828943
C,ER leakage / charge-poor ER,0.13,7.912270440435962e-05,1.6056977968835996e-05,0.0003897193862966721,0.17160429626047363,0.0340155990085499,0.8668415428641119,0.00914225557655018,0.007334395327567015,0.0012872682276988258,0.04051088071048881,-1.2485790373621322
D,neutron (any origin),0.08,3.1870684927327465e-05,9.03220656442469e-06,0.00011182888109236645,0.06911762190909504,0.019587704611692014,0.24159896826967525,0.00224645109196074,0.0017897877862664217,0.00044771160039254275,0.007177646548039405,-1.6502884469154715
E,accidental coincidence mismodelled,0.05,0.00010252008375618608,1.4651868149274915e-05,0.0007216637971347541,0.2214237186089218,0.03134115164133922,1.600951640325911,0.003767413012314634,0.003633626992084779,0.0004662559530683334,0.02842610062597568,-1.1386296613292672
F,detector artefact + unknown unknowns,0.18,0.004266142560944949,0.0011283931616914123,0.016020392387014713,9.247361101036185,2.441946202149096,34.786812047084794,0.6781343422166339,0.6361945393170867,0.30653639935086374,0.8742154143700085,0.5483174319807789
G,"calibration-related (activation, 214Pb, scale)",0.05,1.7625808548176168e-05,1.580266569433002e-06,0.00019706205280456182,0.038327516291965444,0.0033920024589751577,0.435885274194031,0.0007812273898362613,0.0006236883335574862,5.016001488476676e-05,0.007725084958861099,-1.9040023839324651
H,non-DM new physics,0.02,7.544454399147313e-05,1.921703620261801e-05,0.00029879353331944313,0.16453443118152183,0.0416445652235739,0.6501362139461172,0.0013408321180068115,0.0010592548874637144,0.0002442097269181584,0.004721189118009865,-1.2760295191263094
I,inelastic DM,0.1,0.0028065687791312866,0.0012081719615599127,0.0065466756852944775,6.100129692350931,2.499929258409286,14.95510056488819,0.24984048721642094,0.2280621300370408,0.07362161792577875,0.5040100299059302,0.3580531761956974
J,q^4-spin / momentum-suppressed elastic EFT DM,0.06,0.00031031225913931676,0.00012436879463914653,0.000778343106268977,0.6756729293470062,0.25839191070868567,1.763067144987565,0.01658799908814377,0.014168422953951165,0.004514764321842228,0.03664102859074046,-0.6268297375047471
K,"other DM (boosted, exothermic, composite, streams)",0.04,2.4679539782132307e-05,8.43708527145215e-06,7.206170181802584e-05,0.053445412420437155,0.017610114305513992,0.16324224652811106,0.0008784856990389271,0.0007240688188477047,0.00020992577165423887,0.0022709021293544737,-1.7422801458139177
