cls,factor,kind,lo,hi,median,q16,q84,null,primary_paper,confirming,role
A,b_nb  neighbourhood modelled background,logu,0.00035,0.00064,0.00047346286347315313,0.00038541003225788233,0.0005810834304073167,0.1,P016,"P001, P052, P070, P093",rate
A,T_A  position: modelled mixture vs uniform,logu,0.56,1.0,0.7487453913071881,0.6144907314944569,0.9113463288628337,1.0,P070,P093,mult
A,nu_incoh  incoherent atm-nu lone NR (additive),logu,8e-06,0.0005,6.334889784085412e-05,1.5533774751538577e-05,0.0002585054725080674,0.0,P019,"P060, P087",add
B,R_B  wall MSSI as modelled in neighbourhood,logu,0.000115,0.00025,0.00016957570421977255,0.00013024797381797323,0.00022062066562746234,0.1,P004,P033,rate
B,"k_B  sideband-allowed mismodelling (Gamma(2,1/3.23))",gamma_kB,0.62,1.64,0.5166710587860541,0.21801849038021867,1.0138971807545838,1.0,P004,"P033, P053, P090",mult
B,P_pos  position LR (wall MSSI vs uniform)^-1,logu,0.02,0.43,0.09276986845847321,0.03265060829476502,0.2625515186999086,1.0,P033,"P070, P079",mult
B,V_B  veto-silence penalty,logu,0.1,0.79,0.2801202444666301,0.13892209879992598,0.566300456724883,1.0,P073,,mult
B,W_B  hit-pattern consistency,logu,0.3,1.0,0.5480395497479191,0.36403708136272506,0.8259393359835107,1.0,P093,,mult
B,RFR + 214Pb MSSI at position (additive),logu,1e-09,1e-07,9.992052862911269e-09,2.0860274160168033e-09,4.7903626496146945e-08,0.0,P033,"P053, P070, P093",add
C,R_C  ER tail floor-to-plateau extrapolation,logu,0.00016,0.0028,0.0006651540069365022,0.0002524372525318095,0.0017707827156001638,0.1,P010,"P024, P095",rate
C,F_C  recombination tail shape (Gaussian .. mirrored),logu,0.014,1.0,0.11849703233787758,0.027621198274049387,0.5037182523448718,1.0,P056,P093,mult
D,L_D  neutron single scatters 200-270 keV,logu,5e-06,0.0002,3.1870684927327465e-05,9.03220656442469e-06,0.00011182888109236645,0.1,P013,"P049, P063, P093",rate
E,R_E  accidentals in neighbourhood as modelled,logu,0.0001,0.0002,0.00014156596572376554,0.00011181544746186587,0.00017919207471245717,0.1,P022,P093,rate
E,k_E  high-S1 mismodelling allowed by UDT zero,kE,1.0,183.0,6.550145353636752,1.791238887932621,30.73405994237829,1.0,P022,,mult
E,T_E  S2-width/drift & cathode topology,logu,0.01,1.0,0.1006952265814518,0.021017973020167204,0.47862963433227607,1.0,P093,P022,mult
F,L_F  artefact residual incl. unknown unknowns,logu,0.0006,0.03,0.004266142560944949,0.0011283931616914123,0.016020392387014713,0.1,P041,"P093, P061, P077",rate
G,R_G  activation MSSI-like events per run,logu,9e-06,0.008,0.0002713682626494157,2.6919926811095986e-05,0.002717158448512518,0.1,P029,P053,rate
G,"P_pos,G  position penalty for MSSI-like topology",logu,0.01,0.43,0.06541162820595478,0.018240234191885963,0.235509196876194,1.0,P033,P070,mult
H,L_H  kinematically special non-DM new physics,logu,1e-05,0.00057,7.544454399147313e-05,1.921703620261801e-05,0.00029879353331944313,0.1,P019,"P036, P060, P080, P087",rate
DM,R_DM  B10 x b_H (single-event Bayes factor after Occam),logu,0.00399,0.021089999999999998,0.009168072825647869,0.005211985211657601,0.016191391995960258,0.1,P001,"P008, P071",rate
DM,B_DM refinement  model-marginalised 16.4-28.7 (replaces P001 range),logu,0.009347999999999999,0.016359,0.012374089192945154,0.01023586133782185,0.01496630650866967,,P027,P016,rate_replace
DM,1/f_FP  forking-paths divisor,logu_inv,1.0,10.0,0.3154979946268583,0.1445094545291795,0.6905084425885675,1.0,P061,P071,mult
I,share_I  inelastic mass of P027 posterior,logu,0.58,0.85,0.7022821805178616,0.6164477588233044,0.7995638468943919,1.0,P027,"P021, P082",mult
J,share_J  q^2-suppressed spin operators,logu,0.11,0.3,0.18182931906881772,0.12917893706865982,0.25534515726987356,1.0,P027,"P016, P003",mult
K,share_K  remainder of model space,logu,0.02,0.08,0.03994880528861815,0.024965022174834928,0.06412190346181758,1.0,P027,,mult
I,"S_I  UV-completion survival (Higgsino excluded, 360-385 keV corner closed)",logu,0.3,1.0,0.5477896563306534,0.36435345723207424,0.8260336546609546,1.0,P076,"P084, P025, P086, P075, P054, P038, P082",mult
I,T_I  16 June date odds (delta 300-380 keV),logu,1.4,2.5,1.8715478403784276,1.5350707749627939,2.2784476854071265,1.0,P006,"P034, P055, P085, P092",mult
J,S_J  EFT consistency (Lambda << m_chi; L10 relic),logu,0.2,1.0,0.4470285667830421,0.2591098469435426,0.7736699251225673,1.0,P031,"P025, P074, P044, P057, P089",mult
J,T_J  date odds elastic,fixed,0.98,0.98,0.98,0.98,0.98,1.0,P006,,mult
K,S_K  survival (CRDM/SIMP/MCP/streams excluded; exothermic B<=2),logu,0.05,0.5,0.1582216570795713,0.07232576534719383,0.34485903169937854,1.0,P040,"P080, P072, P058, P030, P055, P097, P065, P023",mult
