UTC_h,GMST_h,LST_SURF_h,apex_HA_h,apex_alt_deg,apex_az_deg,v_rot_proj_kms,v_lab_rot_only_kms,v_lab_full_kms,v_lab_minus_sidereal_mean_kms,delta_max_248_1TeV_keV,Earth_path_km,R_rel_300,R_rel_350,R_rel_366,R_rel_380,R_rel_385
0.0000,17.6006,10.6839,-10.612,+0.03,14.9,+0.0852,265.8993,265.9462,+0.0853,387.256,133.7,1.0022,1.0064,1.0110,1.0181,1.0182
1.0000,18.6033,11.6866,-9.610,+3.71,25.1,+0.1405,265.9545,265.9993,+0.1405,387.301,22.2,1.0037,1.0106,1.0183,1.0305,1.0306
2.0000,19.6061,12.6893,-8.607,+9.07,34.6,+0.1861,266.0001,266.0427,+0.1861,387.339,9.3,1.0049,1.0141,1.0244,1.0407,1.0409
3.0000,20.6088,13.6921,-7.604,+15.83,43.3,+0.2190,266.0329,266.0734,+0.2189,387.366,5.4,1.0058,1.0166,1.0288,1.0482,1.0484
4.0000,21.6115,14.6948,-6.601,+23.73,51.2,+0.2368,266.0508,266.0890,+0.2368,387.380,3.7,1.0062,1.0180,1.0311,1.0523,1.0525
5.0000,22.6143,15.6975,-5.599,+32.52,58.4,+0.2385,266.0524,266.0884,+0.2384,387.382,2.7,1.0063,1.0181,1.0314,1.0527,1.0529
6.0000,23.6170,16.7003,-4.596,+41.99,65.1,+0.2238,266.0377,266.0715,+0.2237,387.370,2.2,1.0059,1.0170,1.0294,1.0493,1.0495
7.0000,0.6198,17.7030,-3.593,+51.98,71.4,+0.1937,266.0077,266.0393,+0.1937,387.345,1.9,1.0051,1.0147,1.0254,1.0425,1.0427
8.0000,1.6225,18.7058,-2.591,+62.33,77.4,+0.1504,265.9645,265.9938,+0.1505,387.309,1.7,1.0040,1.0114,1.0196,1.0327,1.0328
9.0000,2.6252,19.7085,-1.588,+72.93,83.7,+0.0968,265.9109,265.9380,+0.0969,387.265,1.5,1.0025,1.0073,1.0125,1.0207,1.0207
10.0000,3.6280,20.7112,-0.585,+83.67,92.4,+0.0366,265.8506,265.8756,+0.0366,387.216,1.5,1.0010,1.0027,1.0046,1.0074,1.0074
11.0000,4.6307,21.7140,+0.418,+85.46,264.5,-0.0262,265.7879,265.8106,-0.0261,387.164,1.5,0.9993,0.9980,0.9964,0.9937,0.9936
12.0000,5.6334,22.7167,+1.420,+74.72,275.2,-0.0871,265.7269,265.7475,-0.0871,387.114,1.5,0.9977,0.9934,0.9885,0.9805,0.9804
13.0000,6.6362,23.7194,+2.423,+64.08,281.6,-0.1421,265.6719,265.6903,-0.1421,387.069,1.6,0.9963,0.9892,0.9814,0.9688,0.9687
14.0000,7.6389,0.7222,+3.426,+53.68,287.6,-0.1874,265.6266,265.6428,-0.1874,387.032,1.8,0.9951,0.9858,0.9756,0.9593,0.9591
15.0000,8.6417,1.7249,+4.429,+43.63,293.8,-0.2198,265.5942,265.6083,-0.2198,387.005,2.1,0.9942,0.9834,0.9714,0.9525,0.9523
16.0000,9.6444,2.7277,+5.431,+34.06,300.4,-0.2371,265.5768,265.5887,-0.2372,386.991,2.6,0.9938,0.9821,0.9692,0.9488,0.9487
17.0000,10.6471,3.7304,+6.434,+25.14,307.5,-0.2382,265.5757,265.5854,-0.2383,386.990,3.5,0.9938,0.9820,0.9690,0.9486,0.9485
18.0000,11.6499,4.7331,+7.437,+17.08,315.3,-0.2230,265.5909,265.5985,-0.2231,387.003,5.0,0.9942,0.9832,0.9710,0.9518,0.9517
19.0000,12.6526,5.7359,+8.440,+10.10,323.9,-0.1925,265.6215,265.6268,-0.1925,387.028,8.4,0.9949,0.9855,0.9749,0.9582,0.9581
20.0000,13.6553,6.7386,+9.442,+4.50,333.3,-0.1488,265.6652,265.6683,-0.1488,387.064,18.5,0.9961,0.9887,0.9805,0.9674,0.9673
21.0000,14.6581,7.7413,+10.445,+0.52,343.4,-0.0949,265.7191,265.7200,-0.0949,387.108,91.2,0.9975,0.9928,0.9875,0.9789,0.9788
21.3833,15.0425,8.1257,+10.829,-0.52,347.4,-0.0723,265.7417,265.7417,-0.0723,387.126,206.8,0.9982,0.9946,0.9907,0.9842,0.9840
22.0000,15.6608,8.7441,+11.448,-1.59,354.0,-0.0345,265.7795,265.7781,-0.0345,387.157,400.6,0.9991,0.9973,0.9953,0.9919,0.9918
23.0000,16.6636,9.7468,-11.549,-1.69,4.9,+0.0282,265.8423,265.8386,+0.0283,387.209,421.2,1.0007,1.0021,1.0035,1.0056,1.0055
24.0000,17.6663,10.7496,-10.547,+0.22,15.6,+0.0890,265.9031,265.8971,+0.0891,387.259,115.2,1.0023,1.0067,1.0115,1.0190,1.0190
