UTC_h,Rrot_300,Rrot_350,Rrot_366,Rrot_380,Rrot_385,Rfull_300,Rfull_350,Rfull_366,Rfull_380,Rfull_385
0.000000000000000000e+00,1.002234863472775794e+00,1.006412986808496335e+00,1.011013651126774882e+00,1.018142700461573069e+00,1.018153467360227937e+00,1.003468662564595659e+00,1.009983634349365778e+00,1.017212006460490148e+00,1.028603557738943186e+00,1.028675066898371959e+00
8.333333333333332871e-02,1.002363195172045973e+00,1.006784101158818334e+00,1.011657263335532297e+00,1.019226576939775919e+00,1.019243190495336737e+00,1.003592491210463677e+00,1.010342330540324296e+00,1.017835399636615623e+00,1.029658413872209577e+00,1.029736577523246543e+00
1.666666666666666574e-01,1.002490401856863445e+00,1.007152026575568238e+00,1.012295485448883481e+00,1.020301913023501150e+00,1.020324430045588704e+00,1.003715185586473657e+00,1.010697800900762555e+00,1.018453316855086666e+00,1.030704500226135023e+00,1.030789357757183833e+00
2.500000000000000000e-01,1.002616422396503504e+00,1.007516584486668476e+00,1.012928003869541405e+00,1.021368165666682426e+00,1.021396637168132004e+00,1.003836684575448945e+00,1.011049866654201379e+00,1.019065443626380851e+00,1.031741270235189134e+00,1.031832854834581426e+00
3.333333333333333148e-01,1.002741196286431435e+00,1.007877598026691413e+00,1.013554507748209099e+00,1.022424795554218280e+00,1.022459266616109419e+00,1.003956927690812240e+00,1.011398350751430364e+00,1.019671468247194568e+00,1.032768181221718873e+00,1.032866519747346779e+00
4.166666666666666852e-01,1.002864663542573309e+00,1.008234891735428018e+00,1.014174688604316144e+00,1.023471266279150305e+00,1.023511775900238119e+00,1.004075854970680748e+00,1.011743077568117988e+00,1.020271081282630776e+00,1.033784693562079360e+00,1.033889806406723011e+00
5.000000000000000000e-01,1.002986764864275404e+00,1.008588292034099387e+00,1.014788240887447124e+00,1.024507045792177218e+00,1.024553626758415437e+00,1.004193407140940408e+00,1.012083873382042976e+00,1.020863976407323070e+00,1.034790272140973855e+00,1.034902173123597002e+00
5.833333333333333703e-01,1.003107441530757260e+00,1.008937626930335618e+00,1.015394861554899997e+00,1.025531605587434614e+00,1.025584284353384890e+00,1.004309525511518419e+00,1.012420566076742912e+00,1.021449849899524365e+00,1.035784385541251185e+00,1.035903099815549844e+00
6.666666666666666297e-01,1.003226635560632518e+00,1.009282726484598935e+00,1.015994250938901944e+00,1.026544422132196432e+00,1.026603218709716048e+00,1.004424152136000226e+00,1.012752985609491452e+00,1.022028401466022363e+00,1.036766507475198162e+00,1.036892085143482634e+00
7.500000000000000000e-01,1.003344289610771378e+00,1.009623422522760716e+00,1.016586112257119145e+00,1.027544976086458783e+00,1.027609903933313751e+00,1.004537229710317670e+00,1.013080963722144734e+00,1.022599333749836914e+00,1.037736115995330444e+00,1.037868598937069731e+00
