H1,H2,log10_odds_central,log10_odds_median,p16,p84,p05,p95
NR,WALL,4.43367447984463,4.693954771403146,4.148620535595778,5.240165714507047,3.829954683015347,5.552356843171899
NR,RFR,6.889698461660276,7.807740832853304,6.9867948799324475,8.626238969196416,6.5046883798824275,9.116049892439696
NR,ER,3.635325370414238,3.5071882398799117,2.2777023379652035,4.729626096801898,1.8586810925166573,5.163081732527297
NR,ACC,4.10327553576097,3.7740799416503163,3.0322822501354514,4.52650793514965,2.634787866156063,4.927062610403439
NR,NEU,4.580592537758255,3.9873441844984168,3.224635068432479,4.737216907836658,2.919833052932878,5.031054064413697
NR,ART,2.4983105537896004,2.6294505745368233,2.0243885020838444,3.2410480392174272,1.7202599661148388,3.542948120330762
NR,NU,3.7672592818421413,3.5460236751148484,2.964998682501604,4.116858219678933,2.7362380608294927,4.345638845886853
WALL,RFR,2.4560239818156466,3.1133814595381497,2.1684715819385554,4.064419196726313,1.5923484753727477,4.640664093734081
WALL,ER,-0.7983491094303921,-1.186865721147432,-2.459019794392315,0.08427093826314827,-3.06815423374853,0.7080659175106625
WALL,ACC,-0.3303989440836596,-0.9229726966370673,-1.79362029515395,-0.026409318863811,-2.330697773554704,0.510810806203179
WALL,NEU,0.14691805791362533,-0.7080306863526908,-1.5700682423979475,0.15544169787945766,-2.063182744970109,0.6505435017836326
WALL,ART,-1.9353639260550293,-2.058073320524258,-2.829369918822655,-1.298013168005419,-3.291419482310901,-0.8412852526110541
WALL,NU,-0.6664151980024885,-1.1476560643776217,-1.8706945271818003,-0.41856958657453114,-2.315930249606396,0.00894934886664557
RFR,ER,-3.2543730912460385,-4.304164195534852,-5.681506135283136,-2.9148977168354375,-6.444456587766795,-2.1648893939496237
RFR,ACC,-2.786422925899306,-4.030127998828728,-5.092776479523024,-2.9696191650549415,-5.764871975428024,-2.3237924615767307
RFR,NEU,-2.3091059239020213,-3.8225774863880115,-4.866855751972849,-2.7762720185969374,-5.509344603118891,-2.15656221735198
RFR,ART,-4.3913879078706755,-5.177219175183087,-6.155066301652898,-4.201772873049885,-6.747613973436867,-3.6020267888826805
RFR,NU,-3.122439179818135,-4.262197904474649,-5.2074263549784785,-3.3133011552401355,-5.793853777532238,-2.7462137880020405
ER,ACC,0.4679501653467324,0.27592768104398985,-1.0597527236786373,1.5952731768966084,-1.7870331625381783,2.322391248682631
ER,NEU,0.9452671673440174,0.4788020853973769,-0.8417196005577562,1.787681510824896,-1.548819683659898,2.5219915290477384
ER,ART,-1.1370148166246372,-0.8771970741682128,-2.1448563877873204,0.41365436046551135,-2.797163643203979,1.045787539510703
ER,NU,0.13193391142790356,0.03209523856870017,-1.2135301511113408,1.2975487200726352,-1.83368838928358,1.9189411030252064
ACC,NEU,0.47731700199728494,0.20531772692662065,-0.7869892763191457,1.189713950715433,-1.376081858979962,1.797067365629092
ACC,ART,-1.6049649819713696,-1.1497096247521688,-2.0524839450399686,-0.2338607757838319,-2.6036547102573118,0.31591200458514573
ACC,NU,-0.33601625391882883,-0.23776636277336594,-1.1136549863481207,0.6517328169221165,-1.6411940701564727,1.1776425696920103
NEU,ART,-2.0822819839686546,-1.3475654684746412,-2.248228219992142,-0.4594006333676397,-2.7614252836624655,0.057092573453647544
NEU,NU,-0.8133332559161138,-0.44236735088471524,-1.3055190951730635,0.43507071560893673,-1.795598877887377,0.9263496983261935
ART,NU,1.2689487280525407,0.9063912866224488,0.14713528385819258,1.6878235710446756,-0.29735549776258885,2.1304423969105293
