H1,H2,total_log10_odds,top_handle,top_log10,top_topological_handle,top_topological_log10,d_rate,d_E,d_B,d_P,d_W,d_V,d_T
NR,WALL,4.43367447984463,rate,1.304518323509803,V,1.221848749616356,1.304518323509803,0.30938207002874707,0.4189483893965543,1.1789769472931695,0.0,1.221848749616356,0.0
NR,RFR,6.889698461660276,rate,2.778151250383644,W,2.0,2.778151250383644,0.30938207002874707,0.4189483893965543,0.16136800223497488,2.0,1.221848749616356,0.0
NR,ER,3.6353253704142374,E,4.581856605239675,E,4.581856605239675,-3.230448921378274,4.581856605239675,2.283917686552836,0.0,0.0,0.0,0.0
NR,ACC,4.10327553576097,E,2.915575698540003,E,2.915575698540003,-0.39269695325966575,2.915575698540003,0.5803967904806326,0.0,1.0,0.0,0.0
NR,NEU,4.580592537758255,E,3.529827605235665,E,3.529827605235665,-0.16879202031418203,3.529827605235665,-0.023481095849522866,0.146128035678238,0.0,1.0969100130080567,0.0
NR,ART,2.4983105537896004,E,1.5440680443502757,E,1.5440680443502757,1.0,1.5440680443502757,-0.045757490560675115,0.0,0.0,0.0,0.0
NR,NU,3.7672592818421413,E,3.0134568488392475,E,3.0134568488392475,0.7772835288524167,3.0134568488392475,-0.023481095849522866,0.0,0.0,0.0,0.0
WALL,RFR,2.4560239818156466,W,2.0,W,2.0,1.473632926873841,0.0,0.0,-1.0176089450581944,2.0,0.0,0.0
WALL,ER,-0.7983491094303916,rate,-4.534967244888077,E,4.272474535210929,-4.534967244888077,4.272474535210929,1.864969297156282,-1.1789769472931695,0.0,-1.221848749616356,0.0
WALL,ACC,-0.3303989440836599,E,2.606193628511256,E,2.606193628511256,-1.6972152767694688,2.606193628511256,0.16144840108407826,-1.1789769472931695,1.0,-1.221848749616356,0.0
WALL,NEU,0.1469180579136252,E,3.220445535206918,E,3.220445535206918,-1.473310343823985,3.220445535206918,-0.4424294852460772,-1.0328489116149313,0.0,-0.12493873660829938,0.0
WALL,ART,-1.9353639260550293,E,1.2346859743215286,E,1.2346859743215286,-0.30451832350980296,1.2346859743215286,-0.46470587995722945,-1.1789769472931695,0.0,-1.221848749616356,0.0
WALL,NU,-0.6664151980024888,E,2.7040747788105004,E,2.7040747788105004,-0.5272347946573863,2.7040747788105004,-0.4424294852460772,-1.1789769472931695,0.0,-1.221848749616356,0.0
RFR,ER,-3.2543730912460385,rate,-6.008600171761918,E,4.272474535210929,-6.008600171761918,4.272474535210929,1.864969297156282,-0.16136800223497486,-2.0,-1.221848749616356,0.0
RFR,ACC,-2.786422925899306,rate,-3.1708482036433097,E,2.606193628511256,-3.1708482036433097,2.606193628511256,0.16144840108407826,-0.16136800223497486,-1.0,-1.221848749616356,0.0
RFR,NEU,-2.3091059239020213,E,3.220445535206918,E,3.220445535206918,-2.946943270697826,3.220445535206918,-0.4424294852460772,-0.015239966556736846,-2.0,-0.12493873660829938,0.0
RFR,ART,-4.3913879078706755,W,-2.0,W,-2.0,-1.778151250383644,1.2346859743215286,-0.46470587995722945,-0.16136800223497486,-2.0,-1.221848749616356,0.0
RFR,NU,-3.1224391798181346,E,2.7040747788105004,E,2.7040747788105004,-2.000867721531227,2.7040747788105004,-0.4424294852460772,-0.16136800223497486,-2.0,-1.221848749616356,0.0
ER,ACC,0.4679501653467326,rate,2.8377519681186083,B,-1.7035208960722035,2.8377519681186083,-1.6662809066996722,-1.7035208960722035,0.0,1.0,0.0,0.0
ER,NEU,0.9452671673440174,rate,3.061656901064092,B,-2.307398782402359,3.061656901064092,-1.05202900000401,-2.307398782402359,0.146128035678238,0.0,1.0969100130080567,0.0
ER,ART,-1.137014816624637,rate,4.230448921378274,E,-3.0377885608893997,4.230448921378274,-3.0377885608893997,-2.3296751771135114,0.0,0.0,0.0,0.0
ER,NU,0.1319339114279039,rate,4.007732450230691,B,-2.307398782402359,4.007732450230691,-1.568399756400428,-2.307398782402359,0.0,0.0,0.0,0.0
ACC,NEU,0.477317001997285,V,1.0969100130080567,V,1.0969100130080567,0.22390493294548378,0.6142519066956621,-0.6038778863301555,0.146128035678238,-1.0,1.0969100130080567,0.0
ACC,ART,-1.6049649819713698,rate,1.3926969532596658,E,-1.3715076541897278,1.3926969532596658,-1.3715076541897278,-0.6261542810413078,0.0,-1.0,0.0,0.0
ACC,NU,-0.3360162539188287,rate,1.1699804821120825,W,-1.0,1.1699804821120825,0.09788115029924416,-0.6038778863301555,0.0,-1.0,0.0,0.0
NEU,ART,-2.082281983968655,E,-1.9857595608853897,E,-1.9857595608853897,1.168792020314182,-1.9857595608853897,-0.022276394711152253,-0.146128035678238,0.0,-1.0969100130080567,0.0
NEU,NU,-0.8133332559161139,V,-1.0969100130080567,V,-1.0969100130080567,0.9460755491665988,-0.5163707563964179,0.0,-0.146128035678238,0.0,-1.0969100130080567,0.0
ART,NU,1.2689487280525407,E,1.4693888044889718,E,1.4693888044889718,-0.2227164711475833,1.4693888044889718,0.022276394711152208,0.0,0.0,0.0,0.0
