H,median,p16,p84,p05,p95,central,weight_central,case,s
NR,0.4006658449274126,0.3139800780326945,0.4954511585214989,0.2772480732654606,0.5389171983236328,0.3478023400656703,0.000189,"i-a LZ counts, (S1c,d) only",0.001
WALL,0.2737777084831022,0.21395894514972996,0.3446287687443644,0.18172078333775626,0.3903146624146298,0.3120637173887,0.00016957919999999996,"i-a LZ counts, (S1c,d) only",0.001
RFR,0.00552285093432545,0.003349213923208524,0.009152853109365611,0.0025532833824453605,0.012024689330776396,0.006501327445597917,3.5329e-06,"i-a LZ counts, (S1c,d) only",0.001
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",0.001
ACC,0.25276283159939195,0.20604233382431214,0.3064710932275902,0.18129889206621153,0.34217439573535685,0.2741933792052109,0.000149,"i-a LZ counts, (S1c,d) only",0.001
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",0.001
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",0.001
NU,0.05480932779682151,0.04641822555075768,0.06453533506826954,0.04270706065333331,0.070477686288043,0.05943923589482089,3.23e-05,"i-a LZ counts, (S1c,d) only",0.001
NR,0.8704419611307403,0.8207707197446418,0.9076847153825344,0.7928082583295724,0.9211516052317545,0.8420913432074263,0.00189,"i-a LZ counts, (S1c,d) only",0.01
WALL,0.05949674131216105,0.040271587614550894,0.08674496718698038,0.031985354066003335,0.10810041713813784,0.0755561779407623,0.00016957919999999996,"i-a LZ counts, (S1c,d) only",0.01
RFR,0.0012065540093580847,0.0006946115184197996,0.0021157748905920237,0.0005035326031903693,0.0029064492229184643,0.0015740870404325484,3.5329e-06,"i-a LZ counts, (S1c,d) only",0.01
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",0.01
ACC,0.05523497152906982,0.03889670767648728,0.07717465536089511,0.032543612433996096,0.09106512532079215,0.06638709531106164,0.000149,"i-a LZ counts, (S1c,d) only",0.01
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",0.01
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",0.01
NU,0.01204093583184708,0.008638136899674968,0.016455559021936135,0.007747746437374585,0.01823216225898509,0.014391296500317391,3.23e-05,"i-a LZ counts, (S1c,d) only",0.01
NR,0.9860756605332466,0.9797063294399414,0.9904240695313149,0.9759325455453504,0.9918958839751649,0.9824543358863401,0.019844999999999998,"i-a LZ counts, (S1c,d) only",0.105
WALL,0.006392988882007083,0.004190683306499834,0.009754077496869998,0.0033088609093967557,0.012452545364993873,0.008395254236136903,0.00016957919999999996,"i-a LZ counts, (S1c,d) only",0.105
RFR,0.0001310293363464616,7.360956548914408e-05,0.000233824234077235,5.3287898898491435e-05,0.0003257412165317754,0.00017490112991951884,3.5329e-06,"i-a LZ counts, (S1c,d) only",0.105
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",0.105
ACC,0.005927745030182107,0.004052359608654864,0.008731015357924525,0.0033548193566271976,0.010498861786129637,0.007376452307738205,0.000149,"i-a LZ counts, (S1c,d) only",0.105
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",0.105
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",0.105
