experiment,target,exposure_tyr,exposure_reliability,analysis_range_recalled,delta_keV,exo_events_per_f2,f2_sensitivity_if_zero_events_full_spectrum
LZ WS2024 (this paper),Xe,2.84,certain (paper),5-270 (+ empty 272-670),300.0,961.6085058638063,0.002391825764825079
LZ WS2024 (this paper),Xe,2.84,certain (paper),5-270 (+ empty 272-670),350.0,21625.00559773373,0.00010635835397152622
LZ WS2024 (this paper),Xe,2.84,certain (paper),5-270 (+ empty 272-670),380.0,3289093.7186091626,6.992807736024577e-07
XENONnT SR0+SR1,Xe,3.1,uncertain,3-60,300.0,1049.6430873865493,0.0021912210232591044
XENONnT SR0+SR1,Xe,3.1,uncertain,3-60,350.0,23604.75963132907,9.743797589649499e-05
XENONnT SR0+SR1,Xe,3.1,uncertain,3-60,380.0,3590207.9322846495,6.406314183970903e-07
PandaX-4T Run0+Run1,Xe,1.54,likely,~3-100,300.0,521.4355982500922,0.00441089946240469
PandaX-4T Run0+Run1,Xe,1.54,likely,~3-100,350.0,11726.235429757024,0.000196141380051386
PandaX-4T Run0+Run1,Xe,1.54,likely,~3-100,380.0,1783522.6502317293,1.2895827253447922e-06
XENON1T,Xe,1.0,certain,3-70,300.0,338.5945443182417,0.006792785172103223
XENON1T,Xe,1.0,certain,3-70,350.0,7614.438590751313,0.00030205772527913444
XENON1T,Xe,1.0,certain,3-70,380.0,1158131.5910595644,1.98595739703098e-06
DEAP-3600 (2019),Ar,2.0752908966461328,likely,~50-100 (WIMP ROI),300.0,14698.363124026726,0.00015648000941276906
DEAP-3600 (2019),Ar,2.0752908966461328,likely,~50-100 (WIMP ROI),350.0,379964.35065826465,6.053199454147192e-06
DEAP-3600 (2019),Ar,2.0752908966461328,likely,~50-100 (WIMP ROI),380.0,58905828.859864324,3.904537198638949e-08
DarkSide-50 (2018),Ar,0.04561259411362081,likely,~30-200,300.0,323.0537330425927,0.007119558651553359
DarkSide-50 (2018),Ar,0.04561259411362081,likely,~30-200,350.0,8351.195358795105,0.0002754096750446321
DarkSide-50 (2018),Ar,0.04561259411362081,likely,~30-200,380.0,1294684.8401125853,1.7764941155872287e-06
SuperCDMS Soudan iZIP,Ge,0.004626967830253251,likely,8-115,300.0,7.419036989860236,0.31001328112307047
SuperCDMS Soudan iZIP,Ge,0.004626967830253251,likely,8-115,350.0,127.35452555522092,0.01805982150985848
SuperCDMS Soudan iZIP,Ge,0.004626967830253251,likely,8-115,380.0,15977.289195621492,0.00014395433241768605
EDELWEISS-III,Ge,0.0013579739904175223,likely,~10-100,300.0,2.177421507083241,1.0562952522136877
EDELWEISS-III,Ge,0.0013579739904175223,likely,~10-100,350.0,37.377422884845906,0.06153447248318714
EDELWEISS-III,Ge,0.0013579739904175223,likely,~10-100,380.0,4689.192568655775,0.0004904895600521963
CRESST-III (2019),CaWO4,1.5331964407939768e-05,likely,0.03-16,300.0,0.03983784073866758,57.734052783828815
CRESST-III (2019),CaWO4,1.5331964407939768e-05,likely,0.03-16,350.0,1.1663541781285514,1.9719567547573034
CRESST-III (2019),CaWO4,1.5331964407939768e-05,likely,0.03-16,380.0,197.95323918081476,0.011618905603757917
COSINE-100 (2021),NaI,0.172,uncertain,~1-15 keV_ee,300.0,250.8869041133462,0.009167477306670823
COSINE-100 (2021),NaI,0.172,uncertain,~1-15 keV_ee,350.0,7516.06681177047,0.00030601111693127913
COSINE-100 (2021),NaI,0.172,uncertain,~1-15 keV_ee,380.0,1304445.6192279125,1.7632011377839924e-06
