delta_keV,m_Aprime_GeV,alpha_D,sigma0_cm2,sigma_over_m_cm2_g,Gamma_up_per_s,tau_s,f2_steady_state,f2_primordial,f2_total,LZ_exo_events_2p84tyr_ss,LZ_exo_events_2p84tyr_prim
300.0,2.4,0.0245,8.852582977034413e-26,4.965828786130259e-05,1.5651772958039523e-22,8.379147376543211e+16,1.3042311425493498e-05,0.0027655596386181995,0.002778601950043693,0.011203345514498916,2.3756157295730334
300.0,2.4,0.1,1.4748159895101063e-24,0.0008272934254277816,2.607542350360604e-21,8.379147376543211e+16,0.00021728132320688882,0.0027655596386181995,0.0029828409618250884,0.1866446566347175,2.3756157295730334
300.0,2.6,0.0245,6.42719654815257e-26,3.605315840103534e-05,1.1974583068624786e-22,6.083470466720352e+16,7.279034035477405e-06,0.0003890488079583724,0.00039632784199384983,0.00625269023647509,0.3341929260362419
300.0,2.6,0.1,1.0707532774931395e-24,0.000600635708472059,1.9949326228446127e-21,6.083470466720352e+16,0.00012126670613040243,0.0003890488079583724,0.0005103155140887748,0.10416810056601569,0.3341929260362419
300.0,2.9,0.0245,4.1526275550857003e-26,2.329403463895047e-05,8.239217813125472e-23,3.9305452853957624e+16,3.238411931603975e-06,7.710677304982562e-06,1.0949089236586538e-05,0.0027817958492478145,0.006623471804980021
300.0,2.9,0.1,6.918163357077385e-25,0.0003880722138933856,1.372631039254556e-21,3.9305452853957624e+16,5.395105258815453e-05,7.710677304982562e-06,6.166172989313709e-05,0.04634395417322475,0.006623471804980021
300.0,3.0,0.0245,3.626017987393295e-26,2.034003470798954e-05,7.322543766248927e-23,3.4320987654320984e+16,2.5131615882542504e-06,1.5426223304755776e-06,4.055783918729828e-06,0.002158805804310401,0.001325112581878521
300.0,3.0,0.1,6.040846293033395e-25,0.0003388593870552193,1.2199156628486342e-21,3.4320987654320984e+16,4.186858122872554e-05,1.5426223304755776e-06,4.341120355920112e-05,0.03596511127547524,0.001325112581878521
300.0,3.5,0.0245,1.95723419894282e-26,1.0979044140589107e-05,4.23969081396281e-23,1.85256143273636e+16,7.854287688189023e-07,3.088152020416133e-11,7.854596503391065e-07,0.0006746833124154371,2.6527225855374583e-08
300.0,3.5,0.1,3.2606983739155684e-25,0.00018290785740256738,7.063208353124215e-22,1.85256143273636e+16,1.3085027385571049e-05,3.088152020416133e-11,1.3085058267091253e-05,0.01124003852420553,2.6527225855374583e-08
300.0,4.0,0.0245,1.1472947538236598e-26,6.4357141068248155e-06,2.6094312881603023e-23,1.0859375e+16,2.833679289486578e-07,1.9160367367713575e-18,2.8336792895057386e-07,0.00024341305096689707,1.645875556886596e-15
