target,coupling,delta_keV,A_mean,E_star_keV,half_width_250kms_keV,rate_per_kgyr_f2eq1,p16,p50,p84,peak_keV,frac_below_20,frac_20_100,frac_100_200,frac_200_400,frac_above_400,ratio_to_Xe_per_kg
Xe,p,300.0,129.93104304149645,267.61103627913616,189.32832607892772,0.33859454431824165,71.43727778748718,162.28699118147892,214.38566891745032,170.0,0.0,0.2620927425231842,0.48429889092291767,0.19218284237675282,0.0336082938951256,1.0
Ar,p,300.0,37.97984335059128,289.7492509981862,115.32226686525934,7.082555581861163,180.19517713496222,244.8006883940864,333.8888806074728,222.0,0.0,0.00019090809238586745,0.23671766343604347,0.684343208739581,0.053570056270581055,20.917512407418883
Ge,p,300.0,72.96127801560955,280.90860825702765,152.57974737874176,1.6034338819801488,110.7785943435766,147.27693364527784,198.71012686800026,138.0,0.0,0.06532318548995997,0.7430282071472514,0.11281087732660074,0.04114948349351601,4.73555734694029
Si,p,300.0,28.984617293872294,292.1132347743279,101.97970217283819,8.496069382149534,210.25851959749613,280.1069128701568,373.3865480071425,254.0,0.0,0.0,0.10568611111869387,0.7666397184730033,0.10652123323259041,25.092162660967634
O,p,300.0,16.99098255158031,295.3258773393501,79.37150299323662,5.407307305511372,238.63383565999166,301.03608869904036,377.96837694897556,286.0,0.0,0.0,0.028231021425161238,0.8517224212043981,0.10422213528049293,15.969859515601343
Ca,p,300.0,42.977191159879595,288.4523856454555,121.85218462970695,8.175603589099666,178.90076337533108,242.49470366915818,329.9082634127645,218.0,0.0,0.00020907351933741495,0.24470286245274106,0.6812348152038362,0.04841682207865874,24.145703840447876
W,p,300.0,182.90292981995267,256.3285379960064,210.57600152319375,0.40475215157771105,80.91464787356863,103.64637741636457,204.12684989983447,94.0,0.0,0.3852414707175784,0.370749945012478,0.16145639416048863,0.009392240693693071,1.1953888754843272
Na,p,300.0,22.987799922726296,293.7107712551142,91.56544658555445,7.74358079363147,222.9052047413878,291.891636901718,381.330413733925,270.0,0.0,0.0,0.0670244328089647,0.7951198344166429,0.11860678686987275,22.869774258244856
I,p,300.0,126.93263435592347,268.2794434453519,187.83254584762417,0.3200263619453338,69.37917905550928,161.28485928092368,216.58369284556872,70.0,0.0,0.34250856257374024,0.38250010655495675,0.21234546877303143,0.028790555064308453,0.9451610113497404
Xe,p,350.0,129.93104304149645,312.2128756589922,204.49796469685688,7.6144385907513135,141.93430450586783,181.10588260559123,237.86140632286765,174.0,0.0,0.07224669337132311,0.555523723690258,0.2771057304409115,0.05943433700909287,1.0
Ar,p,350.0,37.97984335059128,338.04079283121723,124.56228471772307,183.08968216085904,211.8274542098518,279.8394484667204,371.6068926423415,258.0,0.0,0.0,0.09952657959738019,0.776303396256395,0.10338077812869147,24.04506648503861
Ge,p,350.0,72.96127801560955,327.72670963319894,164.80496309836695,27.52440263848784,131.22115863724403,171.1969097481351,314.3249713215732,158.0,0.0,0.009912367992139678,0.6574331866430555,0.19583288558972697,0.10528668800128026,3.6147645437602796
Si,p,350.0,28.984617293872294,340.79877390338254,110.15066771383746,255.12275339075205,247.75739593552467,322.5590648093516,421.09293546035923,298.0,0.0,0.0,0.024955793055810836,0.7457823817265188,0.2124581695428691,33.50512980702615
O,p,350.0,16.99098255158031,344.5468568959085,85.73102162367832,185.91439264924492,281.4328389333909,348.83579902065964,430.95949235842613,334.0,0.0,0.0,0.00160415676948557,0.7189078036944127,0.26293244535322324,24.416034147949023
Ca,p,350.0,42.977191159879595,336.5277832530314,131.61540201994177,208.41955351069453,210.22554309135433,277.0250986834735,366.76482730913784,254.0,0.0,0.0,0.1043417861664458,0.7803561340706657,0.09428810529916375,27.37162445092749
W,p,350.0,182.90292981995267,299.04996099534077,227.44807719655955,8.987314615728112,87.36302563421198,113.8733488414343,224.32676676591856,102.0,0.0,0.2717005226738967,0.3977277820906784,0.2426255906116734,0.01630715450636539,1.1802990474759791
Na,p,350.0,22.987799922726296,342.6625664642999,98.9019860424823,247.92297634439782,262.8750012434988,337.1079278176381,432.13882941666486,314.0,0.0,0.0,0.010594390151064259,0.7242154534722995,0.2490739102084646,32.559587077835424
I,p,350.0,126.93263435592347,312.9926840195772,202.8823373933764,6.699396499585402,142.10939219190496,186.42907821778527,238.01246776452794,182.0,0.0,0.10607978945709984,0.4730791774246588,0.3239226145782356,0.054964726492206316,0.8798280293077227
Xe,p,380.0,129.93104304149645,338.9739792869058,213.08200081363466,1158.1315910595645,151.09545368171797,188.32886986015623,267.51888234655314,178.0,0.0,0.026874980841804532,0.5397213968456834,0.3173718907123394,0.07784774744743567,1.0
Ar,p,380.0,37.97984335059128,367.01571793103585,129.79092918071476,28384.37201987526,230.7930295951828,300.5614350700456,393.47728471303384,278.0,0.0,0.0,0.049664641884744724,0.7869715175784582,0.1453560357353101,24.508762423021935
Ge,p,380.0,72.96127801560955,355.8175704589017,171.72284004427067,3453.0798098821006,144.69997719057403,189.39213960920648,410.480651847916,166.0,0.0,0.0012409897488253898,0.539849938452552,0.25297722767719727,0.17475861295679587,2.981595387379864
Si,p,380.0,28.984617293872294,370.0100973808153,114.77436805894561,43431.53067693613,270.4141910526016,347.9267190134476,449.33957315233636,326.0,0.0,0.0,0.007630122787725373,0.6806127922093828,0.29582050394055387,37.501378092277925
O,p,380.0,16.99098255158031,374.07944462984347,89.32967937578269,34394.40709018001,307.2644444757587,377.5025585857965,462.5421760155925,362.0,0.0,0.0,8.179088659326351e-05,0.5900767097652734,0.39111230225926547,29.698185729233813
Ca,p,380.0,42.977191159879595,365.37302181757696,137.14010915401118,32017.610639870592,228.96125324613857,297.41252678807393,388.0918148439383,274.0,0.0,0.0,0.05259284930644463,0.7959235433929531,0.13335562093460923,27.645917689351656
W,p,380.0,182.90292981995267,324.68281479494146,236.99547055199545,1267.7928402407367,92.13076059770286,124.71083472505228,234.85144691065713,102.0,0.0,0.20365671646513336,0.3982184138432929,0.30724345801197955,0.022723739593598895,1.0946880734691333
Na,p,380.0,22.987799922726296,372.03364358981133,103.05351010028026,43917.11189102582,287.02623552342914,364.2370480345689,462.40629956335715,342.0,0.0,0.0,0.0021997518930959832,0.6307325031991603,0.35067436104429206,37.92065792009563
I,p,380.0,126.93263435592347,339.8206283641124,211.3985557049995,1001.6491953756931,156.29101942344005,194.4952947983377,251.18934715041806,186.0,0.0,0.041477552655718467,0.4687750297863939,0.3728871755617872,0.07342775133069025,0.8648837516462987
Xe,iso,300.0,129.93104304149645,,,1.4457063836625599,,154.63465240509348,,,,,,,,
Ar,iso,300.0,37.97984335059128,,,31.893974857617557,,241.87745246020197,,,,,,,,
Ge,iso,300.0,72.96127801560955,,,6.9910280537753415,,144.71320807149453,,,,,,,,
Si,iso,300.0,28.984617293872294,,,33.984277528598135,,280.1069128701568,,,,,,,,
CaWO4,p,300.0,,,,2.5983520231782737,182.08051551472997,264.9270804245279,354.65535440134994,254.0,0.0,,,,,7.673933519543388
CaWO4,p,350.0,,,,76.07336849311667,225.15451791964784,314.1297551610851,407.61777577642226,310.0,0.0,,,,,9.990673322327043
CaWO4,p,380.0,,,,12911.146537641534,251.82245596256155,344.46031912078143,439.91774925083683,342.0,0.0,,,,,11.148255204600057
NaI,p,300.0,,,,1.458644791356664,186.13147744632175,271.8274772457011,370.88055020505976,258.0,0.0,,,,,4.3079394391709345
NaI,p,350.0,,,,43.698062859130644,231.54236309735825,324.1825469301715,424.72361106539,318.0,0.0,,,,,5.738842376666797
NaI,p,380.0,,,,7583.986158301817,258.6102303335593,353.40997224273804,455.50301602306524,346.0,0.0,,,,,6.548466700026112
