shell,group,E_B_eV,N_e,Z_eff_slater,Z_eff_binding,r_rms_slater_a0,q_r_rms,q_over_v_shell,PA_all_slater,PA_ion_slater,PA_all_binding,PA_ion_binding,P_saturating_slater,PB_ion,mean_E_e_eV,median_E_e_eV,mean_E_ER_eV
K 1s,K,34561.0,2,53.7,50.40025162127032,0.032254204982660656,0.008901250227741036,0.005475601727800961,5.282150374457323e-05,1.4970259426111873e-05,5.996445941412348e-05,1.6994660320858644e-05,5.282080622293073e-05,1.6423434001536002e-05,20329.999999999996,10115.47410463015,54891.0
L1 2s,L,5453.0,2,49.85,40.03937587271804,0.13000482845351777,0.03587766337757835,0.01378501531773736,0.0008581378196232176,0.0002432067410507485,0.0013301872155401294,0.0003769913063858765,0.000857953745821538,0.0001040913813546829,3207.6470588235293,1596.009383193432,8660.64705882353
L2 2p,L,5107.0,2,49.85,38.74828445118657,0.10987413390274145,0.03032215985327782,0.014244331524235003,0.0006129555854451555,0.00017371910075053465,0.0010145054248147257,0.00028752323054101995,0.0006128616664027309,0.00011114358772803717,3004.1176470588234,1494.7404951345786,8111.117647058823
L3 2p,L,4786.0,4,49.85,37.5107629389683,0.10987413390274145,0.03032215985327782,0.014714267758725643,0.001225911170890311,0.0003474382015010693,0.002165097870676475,0.0006136151852791429,0.0012257233328054618,0.00023719611472088837,2815.2941176470586,1400.7887232649489,7601.294117647059
M1 3s,M,1149.0,2,42.75,27.56898795874833,0.3365495805833487,0.09287818541564208,0.03003066764060792,0.00575090488406826,0.0016298766969170325,0.013828235764915866,0.00391909094082724,0.005742644576592459,0.0004940037445840608,675.8823529411764,336.29466005671253,1824.8823529411764
M2 3p,M,1002.0,2,42.75,25.745105160829443,0.31383410210523366,0.08660935448072163,0.032158156255533414,0.00500078685571153,0.0014172840842756804,0.013788633944188432,0.003907867301059185,0.004994540095954569,0.000566477347831423,589.4117647058823,293.2700168640783,1591.4117647058824
M3 3p,M,941.0,4,42.75,24.949142357776584,0.31383410210523366,0.08660935448072163,0.0331841112092991,0.01000157371142306,0.002834568168551361,0.029364954754679727,0.008322386898323706,0.009989080191909139,0.0012063980925124036,553.5294117647059,275.4162533623729,1494.5294117647059
M4 3d,M,689.0,4,32.85,21.348650150673258,0.3417038709382595,0.09430062407814072,0.038780677407418356,0.011856810268702415,0.0033603648723631485,0.02807357866024315,0.007956395137773329,0.011839254625428897,0.0016476351307027166,405.2941176470588,201.65972217499996,1094.2941176470588
M5 3d,M,676.0,6,32.85,21.14628871015617,0.3417038709382595,0.09430062407814072,0.03915179282402688,0.017785215403053622,0.005040547308544722,0.042920182759410196,0.012164104104864992,0.017758881938143345,0.0025189806325166533,397.6470588235294,197.8548217566037,1073.6470588235293
N1 4s,N,213.0,2,26.25,15.826662735471087,0.9697464427701223,0.2676226479368818,0.06974855267257746,0.047747921125832114,0.013532344133324136,0.13135130377678655,0.03722656407142788,0.04718246397173198,0.0026648371010661305,125.29411764705881,62.34182993218431,338.2941176470588
N2 4p,N,147.0,2,26.25,13.14795513141407,0.933138949631687,0.2575200130459986,0.08395882161163111,0.044211038079474185,0.012529948271596425,0.17622718382751032,0.04994493667935336,0.043725964946443874,0.0038612945750141894,86.4705882352941,43.024643192634244,233.4705882352941
N3 4p,N,145.0,4,26.25,13.058206948399654,0.933138949631687,0.2575200130459986,0.08453586497734365,0.08842207615894837,0.02505989654319285,0.3573158072088829,0.1012676647153785,0.08745192989288775,0.007829107621063253,85.29411764705881,42.43927389749636,230.2941176470588
N4 4d,N,69.5,4,14.850000000000001,9.040489544706613,1.5117807623329054,0.41720882167904677,0.12210476147085104,0.23208426784909153,0.06577551663846912,0.6262023786768628,0.17747340377457713,0.2254797287665622,0.01633410942523988,40.882352941176464,20.341583006041358,110.38235294117646
N5 4d,N,67.5,6,14.850000000000001,8.909461026207197,1.5117807623329054,0.41720882167904677,0.12390051611304415,0.34812640177363724,0.09866327495770366,0.9671347848453767,0.2740978124962913,0.3382195931498433,0.025227124556759368,39.705882352941174,19.756213710903477,107.20588235294117
O1 5s,O,23.4,2,8.25,6.557185769277488,4.810456929208347,1.3275503414104641,0.2104345633701935,1.1749266059860262,0.33298855298225,1.8598745862411092,0.5271111778774832,0.8885295397819959,0.024256850535345553,13.764705882352938,6.8488207531132055,37.16470588235293
O2 5p,O,13.4,2,8.25,4.962059392275231,4.694525268130202,1.295556475025322,0.27808182353546046,1.1189777199866915,0.3171319552211904,3.093181614644062,0.8766454557450679,0.8569977874311212,0.042358977800528795,7.88235294117647,3.921974277423802,21.28235294117647
O3 5p,O,12.1,4,8.25,4.715223078330605,4.694525268130202,1.295556475025322,0.2926390758979075,2.237955439973383,0.6342639104423808,6.851013824170318,1.9416610094188278,1.7139955748622424,0.0938198847152208,7.117647058823528,3.541484235584179,19.217647058823527
