detector,delta_keV,ER_rejection,f2_90_C_1yr,f2_90_H_1yr,f2_sys_C_eps1e3,f2_sys_H_eps1e3,f2_P058,ratio_C_over_LZ,ratio_H_over_LZ,S_C_f2eq1,B_C_window,S_H_f2eq1,B_H_window,rej_needed_to_match_LZ_C,rej_needed_to_match_LZ_H
Borexino,300.0,1.0,0.026024513517711543,74.53474397206415,0.3351263814017688,886.9717099286471,0.0028,9.294469113468407,26619.55141859434,810705.8683238204,271688924.0325408,261.58460412384676,232018143.61073658,0.011575794888169705,1.4112323869131034e-09
Borexino,300.0,0.01,0.0026024513517711543,7.453474397206415,0.003351263814017688,8.869717099286472,0.0028,0.9294469113468409,2661.955141859434,810705.8683238204,271688924.0325408,261.58460412384676,232018143.61073658,0.011575794888169705,1.4112323869131034e-09
Borexino,300.0,0.0001,0.0002602451351771154,0.7453474397206414,3.3512638140176884e-05,0.08869717099286471,0.0028,0.09294469113468408,266.19551418594335,810705.8683238204,271688924.0325408,261.58460412384676,232018143.61073658,0.011575794888169705,1.4112323869131034e-09
Borexino,350.0,1.0,0.0004932428319543876,1.3287941822388547,0.006412503452617842,15.898711679047157,5.7e-05,8.653383016743643,23312.178635769378,43184310.12390133,276919537.7684369,14752.527634128639,234546183.3921869,0.013354515797197049,1.8400697057916719e-09
Borexino,350.0,0.01,4.932428319543877e-05,0.13287941822388546,6.412503452617843e-05,0.15898711679047156,5.7e-05,0.8653383016743643,2331.217863576938,43184310.12390133,276919537.7684369,14752.527634128639,234546183.3921869,0.013354515797197049,1.8400697057916719e-09
Borexino,350.0,0.0001,4.932428319543877e-06,0.013287941822388547,6.412503452617843e-07,0.0015898711679047156,5.7e-05,0.08653383016743643,233.1217863576938,43184310.12390133,276919537.7684369,14752.527634128639,234546183.3921869,0.013354515797197049,1.8400697057916719e-09
Borexino,366.0,1.0,4.023349864325199e-05,0.10586115099657241,0.0005234515391311762,1.261615928104479,4.8e-06,8.381978884010831,22054.406457619254,529810816.8853498,277330287.5469821,184447.9698278779,232702496.64138514,0.014233341685873152,2.05593439169843e-09
Borexino,366.0,0.01,4.0233498643251985e-06,0.010586115099657241,5.234515391311762e-06,0.01261615928104479,4.8e-06,0.8381978884010831,2205.440645761925,529810816.8853498,277330287.5469821,184447.9698278779,232702496.64138514,0.014233341685873152,2.05593439169843e-09
Borexino,366.0,0.0001,4.023349864325198e-07,0.001058611509965724,5.234515391311762e-08,0.0001261615928104479,4.8e-06,0.0838197888401083,220.5440645761925,529810816.8853498,277330287.5469821,184447.9698278779,232702496.64138514,0.014233341685873152,2.05593439169843e-09
Borexino,380.0,1.0,1.2737687875800907e-06,0.003285298560270834,1.6581363212861808e-05,0.039012192914421144,1.7e-07,7.492757574000534,19325.285648651967,16743990402.958752,277638186.50413144,5922030.171574186,231031383.4984747,0.017812162038848875,2.6776151465181398e-09
Borexino,380.0,0.01,1.2737687875800907e-07,0.00032852985602708335,1.658136321286181e-07,0.00039012192914421144,1.7e-07,0.7492757574000534,1932.5285648651964,16743990402.958752,277638186.50413144,5922030.171574186,231031383.4984747,0.017812162038848875,2.6776151465181398e-09
Borexino,380.0,0.0001,1.2737687875800907e-08,3.285298560270834e-05,1.658136321286181e-09,3.901219291442115e-06,1.7e-07,0.07492757574000534,193.25285648651965,16743990402.958752,277638186.50413144,5922030.171574186,231031383.4984747,0.017812162038848875,2.6776151465181398e-09
KamLAND,300.0,1.0,0.02705542186950389,51.87300210609801,1.2412088200065514,2199.16053294704,0.0028,9.66265066767996,18526.072180749292,2778153.077850146,3448268103.5559487,1339.0417123274647,2944767685.720384,0.010710443198317906,2.9136225949671384e-09
KamLAND,300.0,0.01,0.0027055421869503888,5.187300210609801,0.012412088200065516,21.9916053294704,0.0028,0.966265066767996,1852.607218074929,2778153.077850146,3448268103.5559487,1339.0417123274647,2944767685.720384,0.010710443198317906,2.9136225949671384e-09
KamLAND,300.0,0.0001,0.0002705542186950389,0.5187300210609802,0.00012412088200065513,0.219916053294704,0.0028,0.09662650667679962,185.26072180749293,2778153.077850146,3448268103.5559487,1339.0417123274647,2944767685.720384,0.010710443198317906,2.9136225949671384e-09
KamLAND,350.0,1.0,0.0005127816469480828,0.9247840636533416,0.02375001278747349,39.419317276846805,5.7e-05,8.996169244703207,16224.281818479678,147985389.98317826,3514654904.459735,75517.63197427797,2976853494.7902145,0.012356195342843851,3.798997756022498e-09
