nucleus,A,m_chi_GeV,ceiling_keV,ER_max_elastic_keV,delta_max_at_ERmax_over_4,vmin_kms_delta300,ERrange_delta300,vmin_kms_delta350,ERrange_delta350,vmin_kms_delta366,ERrange_delta366,vmin_kms_delta380,ERrange_delta380
1H,1.0,400.0,3.384729190175589,13.507461459064615,,7617.48073322309,"(nan, nan)",8227.819567856104,"(nan, nan)",8413.782473991734,"(nan, nan)",8573.191710984791,"(nan, nan)"
1H,1.0,1000.0,3.389454071882276,13.54519901456371,,7612.169516960238,"(nan, nan)",8222.082798623987,"(nan, nan)",8407.91604388538,"(nan, nan)",8567.214134298401,"(nan, nan)"
1H,1.0,4000.0,3.391821462932212,13.564127125631554,,7609.512518676575,"(nan, nan)",8219.212912471896,"(nan, nan)",8404.98129335887,"(nan, nan)",8564.223781390483,"(nan, nan)"
12C,12.0,400.0,39.604592609762534,154.1117450027278,,2226.8991663660317,"(nan, nan)",2405.32600978648,"(nan, nan)",2459.690524138618,"(nan, nan)",2506.2923219511968,"(nan, nan)"
12C,12.0,1000.0,40.261298001666724,159.26493978570005,,2208.6629283517696,"(nan, nan)",2385.628621472333,"(nan, nan)",2439.5479408923297,"(nan, nan)",2485.7681132188345,"(nan, nan)"
12C,12.0,4000.0,40.59788586675738,161.93900777611955,,2199.4881104548526,"(nan, nan)",2375.7186855148284,"(nan, nan)",2429.41402329849,"(nan, nan)",2475.442196357557,"(nan, nan)"
13C,13.0,400.0,42.807996881426234,166.20050680185932,,2141.957624423747,"(nan, nan)",2313.578658477999,"(nan, nan)",2365.8695245277086,"(nan, nan)",2410.6937705663818,"(nan, nan)"
13C,13.0,1000.0,43.576263843864076,172.21957563356315,,2122.9918743934713,"(nan, nan)",2293.0933071284935,"(nan, nan)",2344.921168923097,"(nan, nan)",2389.348523148425,"(nan, nan)"
13C,13.0,4000.0,43.9708319144556,175.35247332626997,,2113.4451768847825,"(nan, nan)",2282.781695281835,"(nan, nan)",2334.376496872561,"(nan, nan)",2378.6040695928277,"(nan, nan)"
16O,16.0,400.0,52.33190675816023,201.80829749474492,,1937.2695326345083,"(nan, nan)",2092.4902506550056,"(nan, nan)",2139.784137554578,"(nan, nan)",2180.324923788571,"(nan, nan)"
16O,16.0,1000.0,53.48465106314523,210.79690704914842,,1916.2790183028183,"(nan, nan)",2069.8179039033557,"(nan, nan)",2116.5993566815823,"(nan, nan)",2156.7008793334426,"(nan, nan)"
16O,16.0,4000.0,54.08027940885648,215.51810227258545,,1905.697062217512,"(nan, nan)",2058.3880849915545,"(nan, nan)",2104.9112041585595,"(nan, nan)",2144.791280691351,"(nan, nan)"
19F,19.0,400.0,61.72838306872158,236.45150608912493,,1783.7372314095333,"(nan, nan)",1926.6564118101871,"(nan, nan)",1970.2021680716389,"(nan, nan)",2007.5300197608403,"(nan, nan)"
