exposure_tyr,window,hypothesis,mean,P0,P1,Pge2,Pge1
1.0,200-270 keV,DM corpus posterior (Gamma-Poisson),0.13556338028169015,0.8858566411990946,0.09637794922718528,0.017765409573720026,0.11414335880090543
1.0,200-270 keV,modelled background (P016),0.00020070422535211268,0.9997993159143935,0.00020066394720817053,2.013839830493292e-08,0.00020068408560647288
1.0,200-270 keV,corpus-revised background (P093),0.00033098591549295776,0.9996690688543023,0.0003308763819447339,5.476375294013317e-08,0.0003309311456977104
1.0,200-270 keV,"steady unknown (Exp(1) rate, P081)",0.35211267605633806,0.7395833333333334,0.19259982638888892,0.0678168402777777,0.2604166666666667
1.0,200-270 keV,plug-in best fit L10 (P069 ROI-anchored),0.121,0.8860339595928756,0.10721010911073794,0.006755931296386465,0.11396604040712444
1.0,200-270 keV,plug-in best fit d300 (P069 ROI-anchored),0.063,0.9389434736891332,0.05915343884241539,0.0019030874684513666,0.06105652631086678
1.0,200-270 keV,plug-in best fit d350 (P069 ROI-anchored),0.178,0.8369424234887681,0.14897575138100072,0.014081825130231202,0.16305757651123187
1.0,200-270 keV,plug-in best fit d366 (P069 ROI-anchored),0.274,0.7603320752608821,0.20833098862148172,0.03133693611763625,0.2396679247391179
1.0,200-270 keV,plug-in best fit d380 (P069 ROI-anchored),0.278,0.7572968215143355,0.2105285163809853,0.032174662104679175,0.24270317848566447
1.0,200-270 keV,"plug-in, one band event per 2.84 t.yr (P020/P079 anchoring)",0.35211267605633806,0.7032008836099128,0.24760594493306792,0.049193171457019215,0.29679911639008716
1.0,270-420 keV (1000 phd),modelled background (P038 MSSI),0.0009859154929577466,0.9990145703620381,0.0009849439426104602,4.856953514328488e-07,0.0009854296379618877
1.0,55-200 keV,modelled background (P081/P016),0.04225352112676056,0.9586267176373936,0.04050535426636874,0.0008679280962376396,0.0413732823626064
1.0,200-400 keV (1000 phd),plug-in best fit L10 (P069/P050),0.22,0.8025187979624785,0.17655413555174526,0.020927066485776243,0.1974812020375215
1.0,200-400 keV (1000 phd),plug-in best fit d300 (P069/P050),0.112,0.8940442575003572,0.10013295684004,0.005822785659602728,0.10595574249964279
1.0,200-400 keV (1000 phd),plug-in best fit d350 (P069/P050),0.516,0.596903392674358,0.3080021506199687,0.09509445670567325,0.403096607325642
1.0,200-400 keV (1000 phd),plug-in best fit d366 (P069/P050),1.63,0.19592957412690937,0.31936520582686223,0.48470522004622835,0.8040704258730906
1.0,200-400 keV (1000 phd),plug-in best fit d380 (P069/P050),10.5,2.7536449349747158e-05,0.00028913271817234516,0.999683330832478,0.9999724635506503
2.8,200-270 keV,DM corpus posterior (Gamma-Poisson),0.3795774647887324,0.7491893585811189,0.16838093309728647,0.08242970832159457,0.2508106414188811
2.8,200-270 keV,modelled background (P016),0.0005619718309859155,0.9994381860456081,0.0005616561073692924,1.5784702266337704e-07,0.0005618139543919209
2.8,200-270 keV,corpus-revised background (P093),0.0009267605633802817,0.9990736687465579,0.0009259020761059649,4.291773361468358e-07,0.0009263312534421031
2.8,200-270 keV,"steady unknown (Exp(1) rate, P081)",0.9859154929577465,0.5035460992907801,0.24998742517981992,0.2464664755294,0.49645390070921985
2.8,200-270 keV,plug-in best fit L10 (P069 ROI-anchored),0.3388,0.7126249598296086,0.2414373363902714,0.04593770378011999,0.2873750401703914
2.8,200-270 keV,plug-in best fit d300 (P069 ROI-anchored),0.1764,0.8382826032242334,0.14787305120875477,0.013844345567011735,0.16171739677576658
2.8,200-270 keV,plug-in best fit d350 (P069 ROI-anchored),0.49839999999999995,0.6075018855416421,0.30277893975395437,0.08971917470440362,0.3924981144583579
2.8,200-270 keV,plug-in best fit d366 (P069 ROI-anchored),0.7672,0.46431132160892424,0.3562196459383667,0.1794690324527091,0.5356886783910757
2.8,200-270 keV,plug-in best fit d380 (P069 ROI-anchored),0.7784,0.4591400479960701,0.35739461336014094,0.18346533864378894,0.5408599520039299
2.8,200-270 keV,"plug-in, one band event per 2.84 t.yr (P020/P079 anchoring)",0.9859154929577465,0.3730975024013243,0.36784260800130564,0.25905988959737003,0.6269024975986757
2.8,270-420 keV (1000 phd),modelled background (P038 MSSI),0.00276056338028169,0.9972432434709828,0.0027529531791593326,3.8033498578564354e-06,0.0027567565290171903
2.8,55-200 keV,modelled background (P081/P016),0.11830985915492957,0.8884207246654107,0.1051089308054852,0.006470344529104092,0.11157927533458933
2.8,200-400 keV (1000 phd),plug-in best fit L10 (P069/P050),0.616,0.5401005246443706,0.33270192318093234,0.12719755217469705,0.45989947535562936
2.8,200-400 keV (1000 phd),plug-in best fit d300 (P069/P050),0.3136,0.7308112942200039,0.2291824218673932,0.040006283912602886,0.2691887057799961
2.8,200-400 keV (1000 phd),plug-in best fit d350 (P069/P050),1.4447999999999999,0.2357932304864106,0.340674059406766,0.4235327101068235,0.7642067695135895
2.8,200-400 keV (1000 phd),plug-in best fit d366 (P069/P050),4.563999999999999,0.01042029429264086,0.04755822315161287,0.9420214825557462,0.9895797057073591
2.8,200-400 keV (1000 phd),plug-in best fit d380 (P069/P050),29.4,1.7050700738489757e-13,5.0129060171159885e-12,0.9999999999948166,0.9999999999998295
